stage,layout,case,namespace,passed,source_exact,duplicate_exact,trained_resistance,final_resistance,trained_live,final_live,trained_generation,final_generation,before_effects,after_effects,stale_effects,disuse_resistance,disuse_monotone,old_correspondence_live,fresh_correspondence,fresh_direction_ids,stale_refused,quiescent,work_total,pressure_updates,deallocations,arrow_slots,known_live_arrows,persistent_bytes,fingerprint
GATE,G0,matched-high-use-survival,0x674000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,12659,877,3,32,29,3104,866908178833422090
GATE,G0,matched-low-use-forgetting,0x674100000,true,true,true,9|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,4473,374,6,32,26,3104,15729475898368811536
GATE,G0,disuse-to-zero,0x674200000,true,true,true,17|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,17|14|6|0,true,0|0,0|0,false,true,true,9074,705,6,32,26,3104,228369838644293096
GATE,G0,forward-to-reverse-competition,0x674300000,true,true,true,17|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,27299,1772,4,33,29,3168,10966420703773246721
GATE,G0,correlation-without-traversal,0x674400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,11755,842,4,32,28,3104,14611757124605177267
GATE,G0,traversal-without-return,0x674500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,9269,746,4,30,26,2976,12978163349108049578
GATE,G0,reverse-to-forward-competition,0x674600000,true,true,true,0|17,36|0,false|true,true|false,2|1,1|2,0|1,1|0,1|0,0|0|0|0,false,0|0,0|0,false,true,true,27299,1772,4,33,29,3168,6547931927229592515
GATE,G0,full-deallocation-opposite-reacquisition,0x674700000,true,true,true,17|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|0,0|0|0|0,false,0|0,1|1,true,true,true,30480,1891,7,36,29,3360,6387300130854876360
GATE,G1,matched-high-use-survival,0x675000000,true,true,true,22|0,11|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,26997,1208,3,40,37,4384,17688863478802199340
GATE,G1,matched-low-use-forgetting,0x675100000,true,true,true,8|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,8456,529,6,40,34,4384,6859607359473316646
GATE,G1,disuse-to-zero,0x675200000,true,true,true,16|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,16|13|5|0,true,0|0,0|0,false,true,true,18824,972,6,40,34,4384,4309393966450047048
GATE,G1,forward-to-reverse-competition,0x675300000,true,true,true,16|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,60472,2402,4,41,37,4448,5827771602312730995
GATE,G1,correlation-without-traversal,0x675400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,25800,1168,4,40,36,4384,10833824740479011982
GATE,G1,traversal-without-return,0x675500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,22703,1030,4,38,34,4256,14000125612242950480
GATE,G1,reverse-to-forward-competition,0x675600000,true,true,true,0|16,36|0,false|true,true|false,2|1,1|2,0|1,1|0,1|0,0|0|0|0,false,0|0,0|0,false,true,true,60472,2402,4,41,37,4448,17386532882588268417
GATE,G1,full-deallocation-opposite-reacquisition,0x675700000,true,true,true,16|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|0,0|0|0|0,false,0|0,1|1,true,true,true,64810,2570,7,44,37,4640,5119063719851531546
