stage,layout,case,namespace,passed,source_exact,duplicate_exact,trained_resistance,final_resistance,trained_live,final_live,trained_generation,final_generation,before_effects,after_effects,stale_effects,disuse_resistance,disuse_monotone,old_correspondence_live,fresh_correspondence,fresh_direction_ids,stale_refused,quiescent,work_total,pressure_updates,deallocations,arrow_slots,known_live_arrows,persistent_bytes,fingerprint
MICRO,M0,matched-high-use-survival,0x654000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,12413,881,1,30,29,2976,4931850996244455115
MICRO,M0,matched-low-use-forgetting,0x654100000,true,true,true,9|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,4515,378,4,30,26,2976,7165058644069250899
MICRO,M0,disuse-to-zero,0x654200000,true,true,true,17|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,17|13|5|0,true,0|0,0|0,false,true,true,8956,709,4,30,26,2976,10669928560681544504
MICRO,M0,forward-to-reverse-competition,0x654300000,true,true,true,17|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,26570,1805,2,31,29,3040,3010655894976096104
MICRO,M0,correlation-without-traversal,0x654400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,11533,846,2,30,28,2976,12846152582056984366
MICRO,M0,traversal-without-return,0x654500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,9036,748,2,28,26,2848,3523367372507555680
MICRO,M1,matched-high-use-survival,0x655000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,18533,993,1,34,33,3616,13465729472700520592
MICRO,M1,matched-low-use-forgetting,0x655100000,true,true,true,8|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,6179,435,4,34,30,3616,1037738151582733797
MICRO,M1,disuse-to-zero,0x655200000,true,true,true,16|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,16|13|5|0,true,0|0,0|0,false,true,true,13121,822,4,34,30,3616,6149979533024761435
MICRO,M1,forward-to-reverse-competition,0x655300000,true,true,true,16|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,40949,2072,2,35,33,3680,10509062885351371763
MICRO,M1,correlation-without-traversal,0x655400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,17509,958,2,34,32,3616,12675504410498952463
MICRO,M1,traversal-without-return,0x655500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,14822,858,2,32,30,3488,17445013564800696220
MICRO,M2,matched-high-use-survival,0x656000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,35880,1349,3,44,41,5024,6499375620035983909
MICRO,M2,matched-low-use-forgetting,0x656100000,true,true,true,9|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,10627,582,6,44,38,5024,12002178619320277828
MICRO,M2,disuse-to-zero,0x656200000,true,true,true,17|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,17|14|6|0,true,0|0,0|0,false,true,true,24731,1081,6,44,38,5024,3838585587667591283
MICRO,M2,forward-to-reverse-competition,0x656300000,true,true,true,17|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,81483,2735,4,45,41,5088,11712859153694213757
MICRO,M2,correlation-without-traversal,0x656400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,34562,1308,4,44,40,5024,8673663932652417134
MICRO,M2,traversal-without-return,0x656500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,31227,1206,4,42,38,4896,813236581524667054
MICRO,M3,matched-high-use-survival,0x657000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,69941,1745,1,54,53,6816,3073523669749870500
MICRO,M3,matched-low-use-forgetting,0x657100000,true,true,true,8|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,19655,767,4,54,50,6816,16686709621289760162
MICRO,M3,disuse-to-zero,0x657200000,true,true,true,16|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,16|13|5|0,true,0|0,0|0,false,true,true,47717,1434,4,54,50,6816,17166994964489611272
MICRO,M3,forward-to-reverse-competition,0x657300000,true,true,true,16|0,0|36,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,160607,3586,2,55,53,6880,14475093535867809644
MICRO,M3,correlation-without-traversal,0x657400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,68203,1692,2,54,52,6816,14155126745169628056
MICRO,M3,traversal-without-return,0x657500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,64116,1594,2,52,50,6688,3923972979401869108
