root,load,returned_last,mirror,blank,proposals,traversals,updates,first_returned,first_plain,live_at_30,plain_dead,old_at_30,old_dead_at_40,replacement_distinct,replacement_after_return,live_at_70,reuse_proposals,bytes_before_reuse,bytes_after_reuse,ordered_updates,shuffled_updates,late_updates,stale_firings,repair_firings,px4_first,px4_recurrent,px4_replacement,work,fingerprint,quiescent,replay,claims,passed
561001,8,false,false,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1066,14606319679515694602,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561001,32,false,false,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4978,9077505759279432040,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561001,128,false,false,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55186,1604210843211045879,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561002,8,true,false,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1058,2498352850724265461,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561002,32,true,false,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4946,9778242464647746288,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561002,128,true,false,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55058,13429213992586143849,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561003,8,false,true,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1066,11195427716790209128,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561003,32,false,true,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4978,11267916776623999034,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561003,128,false,true,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55186,6513584162739054026,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561004,8,true,true,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1058,5169554698282892943,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561004,32,true,true,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4946,2555470290691311982,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561004,128,true,true,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55058,13616651458940067494,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561005,8,false,false,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1066,12149149233674592174,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561005,32,false,false,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4978,2139516350297353244,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561005,128,false,false,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55186,259264854697949347,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561006,8,true,false,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1058,11133034793251417145,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561006,32,true,false,0,33,33,1,4,1,1,32,1,true,true,4,1,0,5520,5520,1,0,0,0,1,4,7,4,4946,11512269726104640012,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561006,128,true,false,0,129,129,1,4,1,1,128,1,true,true,4,1,0,20880,20880,1,0,0,0,1,4,7,4,55058,8501589779739581421,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
561007,8,false,true,0,9,9,1,4,1,1,8,1,true,true,4,1,0,1680,1680,1,0,0,0,1,4,7,4,1066,9911833964786070900,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
