cell,namespace,load,useful,distance,mirrored,reversed_allocation,reversed_insertion,initial_proposals,primary_return_updates,expected_return_updates,useful_live,distractor_live,held_crossings,useful_min_resistance,distractor_max_resistance,recurrent_distractor_proposals,return_free_proposals,return_free_updates,return_free_live,late_return_updates,late_return_live,outside_proposals,outside_crossings,withheld_dead,recurrent_live,stale_dead,replacement_live,replacement_crossings,old_generation,new_generation,evaluator_shuffle_inert,permuted_original_live,permuted_returned_live,quiescent,persistent_bytes,work,fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,duplicate_exact,passed
0,580000000,32,4,1,false,false,false,36,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,3,62,true,0,4,true,13920,23858,7f6e8726ac4c0bb9,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,581000000,64,4,1,true,false,false,68,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,3,94,true,0,4,true,24160,52274,d6fc3bdcc65e27d3,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,582000000,128,4,1,false,true,false,132,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,3,158,true,0,4,true,44640,145970,56035fd751fd2819,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,583000000,32,8,1,true,true,false,40,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,3,66,true,0,8,true,15200,42512,62dcf727223550b9,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,584000000,64,8,1,false,false,true,72,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,74,98,true,0,8,true,25440,79408,364382f2911ed186,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,585000000,128,8,1,true,false,true,136,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,138,162,true,0,8,true,45920,190000,b8537e1133027583,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,586000000,32,4,2,false,true,true,36,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,38,62,true,0,4,true,13920,23867,75a87cf0bfeb65c7,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,587000000,64,4,2,true,true,true,68,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,70,94,true,0,4,true,24160,52283,475fbaaad163526d,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,588000000,128,4,2,false,false,false,132,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,true,3,true,true,1,3,158,true,0,4,true,44640,145963,73e05988855146df,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,589000000,32,8,2,true,false,false,40,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,3,66,true,0,8,true,15200,42505,5104a7fc7c2186db,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,58a000000,64,8,2,false,true,false,72,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,3,98,true,0,8,true,25440,79369,f21f76f2b8a5faa8,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,58b000000,128,8,2,true,true,false,136,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,true,7,true,true,1,3,162,true,0,8,true,45920,189961,e559e1b9b1d0b1e9,true,true,true,true,true,true,true,true,true,true,true,true,true,true
