stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,distractor_firings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
G0,left,26877100032,24|0,24|24,24|24,24|24,24|24,3|3,29|0,true|false,1|0,0,true,93,649,1,8780,2000,7699356038728323008,true,true
G0,right,26878148608,0|24,24|24,24|24,24|24,24|24,3|3,0|29,false|true,0|1,0,true,93,649,1,8780,2000,7742303638195819364,true,true
G0,both,26879197184,24|24,24|24,24|24,24|24,24|24,3|3,29|29,true|true,1|1,0,true,186,650,0,11141,2000,8797170820914299318,true,true
G0,correlation,26880245760,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0,true,0,648,2,6794,2000,11296973170927021366,true,true
G0,crossed-return,26881294336,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0,true,0,560,2,5707,1936,13098594483633065386,true,true
G0,no-return,26882342912,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0,true,0,536,2,5505,1872,10535271825217997388,true,true
G0,left-dominant,26883391488,24|6,24|19,24|19,24|19,24|19,3|3,29|0,true|false,1|0,0,true,94,642,1,8737,2000,11061603095381885265,true,false
G0,right-dominant,26884440064,6|24,19|24,19|24,19|24,19|24,3|3,0|29,false|true,0|1,0,true,94,642,1,8732,2000,10279978358599392897,true,false
G0,left-then-right,26885488640,12|12,24|12,24|12,24|12,24|12,3|3,0|0,false|false,0|0,0,true,45,635,2,7375,2000,8663919778559394974,true,false
G0,right-then-left,26886537216,12|12,12|24,12|24,12|24,12|24,3|3,0|0,false|false,0|0,0,true,45,635,2,7375,2000,18012478775617128378,true,false
G0,left-observational-overload,26887585792,24|0,24|72,24|72,24|72,24|72,3|3,28|0,true|false,1|0,0,true,93,1350,1,16201,2000,8780079858425865474,true,true
G0,right-observational-overload,26888634368,0|24,72|24,72|24,72|24,72|24,3|3,0|28,false|true,0|1,0,true,93,1350,1,16201,2000,1000044520280141108,true,true
G1,left,26893877248,24|0,24|24,24|24,24|24,24|24,3|3,26|0,true|false,1|0,192,true,93,1345,1,29924,3280,2957847181384124155,true,true
G1,right,26894925824,0|24,24|24,24|24,24|24,24|24,3|3,0|26,false|true,0|1,192,true,93,1345,1,29924,3280,5234136696713305223,true,true
G1,both,26895974400,24|24,24|24,24|24,24|24,24|24,3|3,26|26,true|true,1|1,192,true,186,1360,0,33451,3280,4588833265081996369,true,true
G1,correlation,26897022976,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,192,true,0,1330,2,26772,3280,6306595057909235254,true,true
G1,crossed-return,26898071552,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,192,true,0,1153,2,24708,3216,11705998151641707858,true,true
G1,no-return,26899120128,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,192,true,0,1120,2,24113,3152,5856536702325166637,true,true
G1,left-dominant,26900168704,24|6,24|19,24|19,24|19,24|19,3|3,26|0,true|false,1|0,192,true,94,1339,1,29810,3280,17241061826437578918,true,false
G1,right-dominant,26901217280,6|24,19|24,19|24,19|24,19|24,3|3,0|26,false|true,0|1,192,true,94,1339,1,29805,3280,1760376182071353456,true,false
G1,left-then-right,26902265856,12|12,24|12,24|12,24|12,24|12,3|3,0|0,false|false,0|0,192,true,45,1328,2,27652,3280,15691659015146116750,true,false
G1,right-then-left,26903314432,12|12,12|24,12|24,12|24,12|24,3|3,0|0,false|false,0|0,192,true,45,1328,2,27652,3280,5605150265917323594,true,false
G1,left-observational-overload,26904363008,24|0,24|72,24|72,24|72,24|72,3|3,25|0,true|false,1|0,192,true,93,2000,1,39603,3280,5265877700414062156,true,true
G1,right-observational-overload,26905411584,0|24,72|24,72|24,72|24,72|24,3|3,0|25,false|true,0|1,192,true,93,2000,1,39603,3280,8542847604288917804,true,true
G2,left,26910654464,24|0,24|24,24|24,24|24,24|24,3|3,24|0,true|false,1|0,576,true,93,2183,1,103914,5840,18105660928285091516,true,true
G2,right,26911703040,0|24,24|24,24|24,24|24,24|24,3|3,0|24,false|true,0|1,576,true,93,2183,1,103914,5840,11554946551491897978,true,true
G2,both,26912751616,24|24,24|24,24|24,24|24,24|24,3|3,24|24,true|true,1|1,576,true,186,2194,0,109741,5840,15364037705802908605,true,true
G2,correlation,26913800192,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,576,true,0,2172,2,98462,5840,8096284764830137766,true,true
G2,crossed-return,26914848768,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,576,true,0,2074,2,94125,5776,5248137654505926133,true,true
G2,no-return,26915897344,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,576,true,0,2040,2,92737,5712,118443487054600684,true,true
G2,left-dominant,26916945920,24|6,24|19,24|19,24|19,24|19,3|3,24|0,true|false,1|0,576,true,94,2178,1,103657,5840,2945370045425040134,true,false
G2,right-dominant,26917994496,6|24,19|24,19|24,19|24,19|24,3|3,0|24,false|true,0|1,576,true,94,2178,1,103652,5840,14826831110773103492,true,false
G2,left-then-right,26919043072,12|12,24|12,24|12,24|12,24|12,3|3,0|0,false|false,0|0,576,true,45,2165,2,99913,5840,10064074785420135930,true,false
G2,right-then-left,26920091648,12|12,12|24,12|24,12|24,12|24,3|3,0|0,false|false,0|0,576,true,45,2165,2,99913,5840,503236485030338890,true,false
G2,left-observational-overload,26921140224,24|0,24|72,24|72,24|72,24|72,3|3,23|0,true|false,1|0,576,true,93,3269,1,118632,5840,15926706494432789110,true,true
G2,right-observational-overload,26922188800,0|24,72|24,72|24,72|24,72|24,3|3,0|23,false|true,0|1,576,true,93,3269,1,118632,5840,5274699214075542004,true,true
G3,left,26927431680,24|0,24|24,24|24,24|24,24|24,3|3,22|0,true|false,1|0,1152,true,93,3666,1,295765,9680,5648721323932820233,true,true
