stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,fresh_live_paths,distractor_firings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
G0,left,27413970944,24|0,24|24,24|24,24|24,24|24,3|3,29|0,true|false,1|0,0|0,0,true,93,695,1,9306,2224,7419487116312194585,true,true
G0,right,27415019520,0|24,24|24,24|24,24|24,24|24,3|3,0|29,false|true,0|1,0|0,0,true,93,695,1,9306,2224,4544489671974856777,true,true
G0,both,27416068096,24|24,24|24,24|24,24|24,24|24,3|3,29|29,true|true,1|1,0|0,0,true,186,696,0,11763,2224,13136136061372197867,true,true
G0,correlation,27417116672,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,0,true,0,694,2,7224,2224,12211945081021755647,true,true
G0,crossed-return,27418165248,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,0,true,0,606,2,6095,2160,8281798390474252935,true,true
G0,no-return,27419213824,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,0,true,0,582,2,5893,2096,7014118192234823455,true,true
G0,left-dominant,27420262400,24|6,24|19,24|19,24|19,24|19,3|3,29|0,true|false,1|0,0|0,0,true,94,688,1,9257,2224,13552227108242599660,true,true
G0,right-dominant,27421310976,6|24,19|24,19|24,19|24,19|24,3|3,0|29,false|true,0|1,0|0,0,true,94,688,1,9252,2224,9764793551167100392,true,true
G0,left-then-right,27422359552,12|13,24|12,24|12,24|14,24|12,3|3,0|0,false|false,0|0,0|0,0,true,45,703,3,7983,2224,14832735409495180368,true,false
G0,right-then-left,27423408128,13|12,12|24,12|24,14|24,12|24,3|3,0|0,false|false,0|0,0|0,0,true,45,703,3,7983,2224,6462794215613530948,true,false
G0,left-observational-overload,27424456704,24|0,24|72,24|72,24|72,24|72,3|3,28|0,true|false,1|0,0|0,0,true,93,1444,1,17159,2224,13641650872734271509,true,true
G0,right-observational-overload,27425505280,0|24,72|24,72|24,72|24,72|24,3|3,0|28,false|true,0|1,0|0,0,true,93,1444,1,17159,2224,16803286960625695899,true,true
G1,left,27430748160,24|0,24|24,24|24,24|24,24|24,3|3,26|0,true|false,1|0,0|0,192,true,93,1415,1,31242,3504,7556110602844257058,true,true
G1,right,27431796736,0|24,24|24,24|24,24|24,24|24,3|3,0|26,false|true,0|1,0|0,192,true,93,1415,1,31242,3504,15422519496062562386,true,true
G1,both,27432845312,24|24,24|24,24|24,24|24,24|24,3|3,26|26,true|true,1|1,0|0,192,true,186,1430,0,34865,3504,18071674449997993364,true,true
G1,correlation,27433893888,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1400,2,27994,3504,17381766487406516539,true,true
G1,crossed-return,27434942464,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1217,2,25882,3440,8474685977215068307,true,true
G1,no-return,27435991040,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1184,2,25287,3376,12444460897479143982,true,true
G1,left-dominant,27437039616,24|6,24|19,24|19,24|19,24|19,3|3,26|0,true|false,1|0,0|0,192,true,94,1409,1,31122,3504,545394541801080071,true,true
G1,right-dominant,27438088192,6|24,19|24,19|24,19|24,19|24,3|3,0|26,false|true,0|1,0|0,192,true,94,1409,1,31117,3504,16384459472485352469,true,true
G1,left-then-right,27439136768,12|13,24|25,24|25,24|27,24|25,3|3,0|16,false|true,0|1,0|1,192,true,63,1471,2,32424,3504,15444919071586928273,true,false
G1,right-then-left,27440185344,13|12,25|24,25|24,27|24,25|24,3|3,16|0,true|false,1|0,1|0,192,true,63,1471,2,32424,3504,11096549004631596341,true,false
G1,left-observational-overload,27441233920,24|0,24|72,24|72,24|72,24|72,3|3,25|0,true|false,1|0,0|0,192,true,93,2100,1,41335,3504,11199013298784914655,true,true
G1,right-observational-overload,27442282496,0|24,72|24,72|24,72|24,72|24,3|3,0|25,false|true,0|1,0|0,192,true,93,2100,1,41335,3504,1027262891492016483,true,true
G2,left,27447525376,24|0,24|24,24|24,24|24,24|24,3|3,24|0,true|false,1|0,0|0,576,true,93,2249,1,106764,6064,4360943488579365237,true,true
G2,right,27448573952,0|24,24|24,24|24,24|24,24|24,3|3,0|24,false|true,0|1,0|0,576,true,93,2249,1,106764,6064,14324765358722424471,true,true
G2,both,27449622528,24|24,24|24,24|24,24|24,24|24,3|3,24|24,true|true,1|1,0|0,576,true,186,2260,0,112687,6064,3779601400270696636,true,true
G2,correlation,27450671104,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2238,2,101216,6064,2912811969507878235,true,true
G2,crossed-return,27451719680,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2140,2,96837,6000,16729964997640660142,true,true
G2,no-return,27452768256,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2106,2,95449,5936,9793243876734489093,true,true
G2,left-dominant,27453816832,24|6,24|19,24|19,24|19,24|19,3|3,24|0,true|false,1|0,0|0,576,true,94,2244,1,106501,6064,6073705948493300823,true,true
G2,right-dominant,27454865408,6|24,19|24,19|24,19|24,19|24,3|3,0|24,false|true,0|1,0|0,576,true,94,2244,1,106496,6064,1117383780106133761,true,true
G2,left-then-right,27455913984,12|13,24|25,24|25,24|27,24|25,3|3,0|15,false|true,0|1,0|1,576,true,63,2302,2,108913,6064,17713292462819261179,true,false
G2,right-then-left,27456962560,13|12,25|24,25|24,27|24,25|24,3|3,15|0,true|false,1|0,1|0,576,true,63,2302,2,108913,6064,15710498163098916245,true,false
G2,left-observational-overload,27458011136,24|0,24|72,24|72,24|72,24|72,3|3,23|0,true|false,1|0,0|0,576,true,93,3373,1,121904,6064,8403611644399831289,true,true
G2,right-observational-overload,27459059712,0|24,72|24,72|24,72|24,72|24,3|3,0|23,false|true,0|1,0|0,576,true,93,3373,1,121904,6064,2800580809868812703,true,true
