stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
S0,left,26340229120,8|0,8|8,8|8,8|8,8|8,3|3,17|0,true|false,1|0,true,29,259,1,2966,2000,2340837834170152565,true,true
S0,right,26341277696,0|8,8|8,8|8,8|8,8|8,3|3,0|17,false|true,0|1,true,29,259,1,2966,2000,13640264001326055587,true,true
S0,both,26342326272,8|8,8|8,8|8,8|8,8|8,3|3,17|17,true|true,1|1,true,58,262,0,3745,2000,13936734015207217508,true,true
S0,correlation,26343374848,0|0,8|8,8|8,8|8,8|8,3|3,0|0,false|false,0|0,true,0,256,2,2306,2000,1062631443203116206,true,true
S0,crossed-return,26344423424,8|0,2|8,2|8,0|2,2|8,3|3,0|0,false|false,0|0,true,0,216,2,2108,1936,11374920684316927316,true,true
S0,no-return,26345472000,8|0,2|8,2|8,0|0,2|8,3|3,0|0,false|false,0|0,true,0,188,2,2004,1872,5969454887022739245,true,true
S1,left,26357006336,8|0,8|8,8|8,8|8,8|8,3|3,16|0,true|false,1|0,true,29,282,1,2989,2000,9877443782663008466,true,true
S1,right,26358054912,0|8,8|8,8|8,8|8,8|8,3|3,0|16,false|true,0|1,true,29,282,1,2989,2000,12825971325658164100,true,true
S1,both,26359103488,8|8,8|8,8|8,8|8,8|8,3|3,16|16,true|true,1|1,true,58,288,0,3771,2000,6382425420237408815,true,true
S1,correlation,26360152064,0|0,8|8,8|8,8|8,8|8,3|3,0|0,false|false,0|0,true,0,276,2,2326,2000,2952880273651294269,true,true
S1,crossed-return,26361200640,8|0,1|8,1|8,0|1,1|8,3|3,0|0,false|false,0|0,true,0,246,2,2039,1936,10540358361443547684,true,true
S1,no-return,26362249216,8|0,1|8,1|8,0|0,1|8,3|3,0|0,false|false,0|0,true,0,234,2,1961,1872,11057043339482289274,true,true
S2,left,26373783552,8|0,8|8,8|8,8|8,8|8,3|3,15|0,true|false,1|0,true,29,258,1,2965,2000,733225461002012757,true,true
S2,right,26374832128,0|8,8|8,8|8,8|8,8|8,3|3,0|15,false|true,0|1,true,29,258,1,2965,2000,3189172070517125495,true,true
S2,both,26375880704,8|8,8|8,8|8,8|8,8|8,3|3,15|15,true|true,1|1,true,58,262,0,3745,2000,3699037156451426454,true,true
S2,correlation,26376929280,0|0,8|8,8|8,8|8,8|8,3|3,0|0,false|false,0|0,true,0,254,2,2304,2000,6394902756752108204,true,true
S2,crossed-return,26377977856,8|0,1|8,1|8,0|1,1|8,3|3,0|0,false|false,0|0,true,0,193,2,1980,1936,12591409613703172678,true,true
S2,no-return,26379026432,8|0,1|8,1|8,0|0,1|8,3|3,0|0,false|false,0|0,true,0,184,2,1905,1872,15180238858847941598,true,true
S3,left,26390560768,8|0,8|8,8|8,8|8,8|8,3|3,15|0,true|false,1|0,true,29,282,1,2989,2000,17996485235348914037,true,true
S3,right,26391609344,0|8,8|8,8|8,8|8,8|8,3|3,0|15,false|true,0|1,true,29,282,1,2989,2000,5276849307290325749,true,true
S3,both,26392657920,8|8,8|8,8|8,8|8,8|8,3|3,15|15,true|true,1|1,true,58,288,0,3771,2000,9388134131245792915,true,true
S3,correlation,26393706496,0|0,8|8,8|8,8|8,8|8,3|3,0|0,false|false,0|0,true,0,276,2,2326,2000,1064192540239508067,true,true
S3,crossed-return,26394755072,8|0,1|8,1|8,0|1,1|8,3|3,0|0,false|false,0|0,true,0,246,2,2033,1936,14605633696573882068,true,true
S3,no-return,26395803648,8|0,1|8,1|8,0|0,1|8,3|3,0|0,false|false,0|0,true,0,216,2,1937,1872,7588771580803513429,true,true
