root,namespace,reverse,reflect,altered,initial_coupling,after_first_coupling,mature_coupling,mature_resistance,no_arrival,subthreshold,unmatched,outward_only,weak,mature,overlap,recurrent,resume_gap,resumed,stale,stale_links,changed_old,changed_new,cumulative,maximum_work,maximum_bytes,memory_stable,permanent,bytes,claims,exact_replay,passed
761001,3268474407223296,false,false,false,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|1|1|0~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=581~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=90~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=512~q=true,b=1|1|1|0~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|1|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,13250334622297769419,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761002,3268478702190592,false,false,true,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|0|1|1~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=580~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=97~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=513~q=true,b=1|0|1|1~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|0|1|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,3021107018754843869,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761003,3268482997157888,false,false,false,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|1|1|0~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=581~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=90~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=512~q=true,b=1|1|1|0~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|1|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,7076543805628542927,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761004,3268487292125184,false,false,true,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|0|1|1~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=580~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=97~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=513~q=true,b=1|0|1|1~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|0|1|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,17740605074191934801,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761005,3268491587092480,true,false,false,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|1|1|0~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=581~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=90~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=512~q=true,b=1|1|1|0~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|1|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,2785999808602615115,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761006,3268495882059776,true,false,true,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|0|1|1~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=580~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=97~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=513~q=true,b=1|0|1|1~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|0|1|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,12867615601982914517,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761007,3268500177027072,true,false,false,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|1|1|0~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=581~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=90~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=512~q=true,b=1|1|1|0~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|1|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,7001231685722473623,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761008,3268504471994368,true,false,true,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|0|1|1~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=580~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=97~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=513~q=true,b=1|0|1|1~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|0|1|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,6452538984883725777,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761009,3268508766961664,false,true,false,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|1|1|0~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=581~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=90~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=512~q=true,b=1|1|1|0~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|1|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,6616379902915630262,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
761010,3268513061928960,false,true,true,1|1,2|2,2|2,6|6,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=0~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=5~q=true,b=1|0|1|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=129~q=true,b=0|0|0|0~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=27~q=true,b=1|0|1|1~i=1|0~d=0|0~x=1|0~xi=1|0~o=0~m=0~u=0~p=0~w=270~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true,b=1|1|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=580~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=524~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true;b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=525~q=true,b=0|0|0|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=97~q=true,b=1|0|1|1~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=513~q=true,b=1|0|1|1~i=1|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=281~q=true,false|false,b=1|0|1|1~i=0|0~d=0|0~x=0|0~xi=0|0~o=0~m=0~u=0~p=0~w=235~q=true,b=1|1|1|0~i=1|1~d=1|1~x=1|1~xi=2|2~o=1~m=0~u=0~p=0~w=516~q=true,pass=true~work=37~bytes=272~q=true,753,2304,true,12956381050937843864,2304,true|true|true|true|true|true|true|true|true|true|true|true,true,true
