root,namespace,reverse,reflect,twist,formation_updates,completed_outward,completed_return,incomplete_outward,blocked_outward,stale_outward,zero_outward,duplicate_physical,duplicate_recursive,branch,cycle,max_work,max_bytes,mature_pairs,stale_memory_before,stale_memory_after,stale_delta,stale_capacity,stale_outward_crossings,stale_route_executions,fresh_proposals,queue_empty,quiescent,replay_exact,cumulative,claims,passed
865001,3715151006007296,false,false,0,12,1,1,0,0,0,1,1,1,0,0,14750,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865002,3715155300974592,false,false,137,12,1,1,0,0,0,1,1,1,0,0,14788,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865003,3715159595941888,false,false,274,12,1,1,0,0,0,1,1,1,0,0,14758,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865004,3715163890909184,false,false,411,12,1,1,0,0,0,1,1,1,0,0,14762,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865005,3715168185876480,true,false,0,12,1,1,0,0,0,1,1,1,0,0,14750,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865006,3715172480843776,true,false,137,12,1,1,0,0,0,1,1,1,0,0,14788,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865007,3715176775811072,true,false,274,12,1,1,0,0,0,1,1,1,0,0,14758,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865008,3715181070778368,true,false,411,12,1,1,0,0,0,1,1,1,0,0,14762,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865009,3715185365745664,false,true,0,12,1,1,0,0,0,1,1,1,0,0,14750,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865010,3715189660712960,false,true,137,12,1,1,0,0,0,1,1,1,0,0,14788,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865011,3715193955680256,false,true,274,12,1,1,0,0,0,1,1,1,0,0,14758,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865012,3715198250647552,false,true,411,12,1,1,0,0,0,1,1,1,0,0,14762,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865013,3715202545614848,true,true,0,12,1,1,0,0,0,1,1,1,0,0,14750,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865014,3715206840582144,true,true,137,12,1,1,0,0,0,1,1,1,0,0,14788,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865015,3715211135549440,true,true,274,12,1,1,0,0,0,1,1,1,0,0,14758,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
865016,3715215430516736,true,true,411,12,1,1,0,0,0,1,1,1,0,0,14762,5552,primary=5488|5488;uninterrupted=5488|5488;incomplete=5488|5488;duplicate=5488|5488;blocked=5488|5488;cumulative=2304|2304,5488,5552,64,8192,0,0,1,true,true,true,pass=true~before=2304~after=2304,true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
