stage,seed,condition,namespace,mirrored,reverse_allocation,reverse_insertion,participant_delay,outward_delay,unrelated_load,a_firings,b_firings,negative_firings,convergence_inputs,convergence_tick,crossing_ticks,outer_ticks,outward_live,naturally_quiescent,duplicate_exact,work,persistent_bytes,start_fingerprint,end_fingerprint,permanent_fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,row_pass
GATE,0,coincident-positive,0x886000000,false,false,false,3,2,4,1,1,0,3:3:false|3:3:true,3,3,5,true,true,true,126,1760,7944163484616574067,12708820524830598229,16550974658814599137,true,true,true,true,true,true,true,true,true,true,true
GATE,0,skewed-positive,0x886010000,false,false,true,3,2,4,1,1,0,3:3:false|5:3:true,5,5,7,true,true,true,126,1760,9132858132182213598,10537711978658652921,16350402440712387275,true,true,true,true,true,true,true,true,true,true,true
GATE,0,first-positive-only,0x886020000,false,false,false,3,2,4,1,0,0,3:3:false,,,,true,true,true,36,1760,14068297476174413971,12152356061824070511,11727109521725189807,true,true,true,true,true,true,true,true,true,true,true
GATE,0,second-positive-only,0x886030000,false,false,true,3,2,4,0,1,0,3:3:false,,,,true,true,true,36,1760,15075230215721856345,12806542182309655964,7285411290708696194,true,true,true,true,true,true,true,true,true,true,true
GATE,0,ordinary-negative-block,0x886040000,false,false,false,3,2,4,1,1,1,3:-3:false|3:3:false|3:3:false,,,,true,true,true,126,1760,12750736472258440002,15068905342629183708,11571768659345160102,true,true,true,true,true,true,true,true,true,true,true
GATE,0,outward-pressure-block,0x886050000,false,false,true,3,2,4,1,1,0,13:3:false|13:3:true,13,,,false,true,true,110,1760,975013680429997817,4377959443184787971,4906557837690884119,true,true,true,true,true,true,true,true,true,true,true
GATE,0,unrelated-inner-activity,0x886060000,false,false,false,3,2,4,0,0,0,,,,,true,true,true,510,1760,10733758281849238424,17676861539970185212,438426309535127383,true,true,true,true,true,true,true,true,true,true,true
GATE,0,no-arrival,0x886070000,false,false,true,3,2,4,0,0,0,,,,,true,true,true,0,1760,1764949967449143589,1764949967449143589,18250715923217469093,true,true,true,true,true,true,true,true,true,true,true
GATE,1,coincident-positive,0x886100000,true,true,true,4,5,8,1,1,0,4:3:false|4:3:true,4,4,9,true,true,true,128,1760,15104155366634035011,12440714272181936089,14876521635454030485,true,true,true,true,true,true,true,true,true,true,true
GATE,1,skewed-positive,0x886110000,true,true,false,4,5,8,1,1,0,4:3:false|6:3:true,6,6,11,true,true,true,142,1760,6454902674104875510,7781602624944991020,17972764529213689888,true,true,true,true,true,true,true,true,true,true,true
GATE,1,first-positive-only,0x886120000,true,true,true,4,5,8,1,0,0,4:3:false,,,,true,true,true,36,1760,6767578143806267894,7745859283992262475,9439566100312133975,true,true,true,true,true,true,true,true,true,true,true
GATE,1,second-positive-only,0x886130000,true,true,false,4,5,8,0,1,0,4:3:false,,,,true,true,true,36,1760,7889720824248050430,238735340165342641,5023117815472019541,true,true,true,true,true,true,true,true,true,true,true
GATE,1,ordinary-negative-block,0x886140000,true,true,true,4,5,8,1,1,1,4:-3:false|4:3:false|4:3:false,,,,true,true,true,126,1760,2175592921809070877,9420539973619334981,5643622450614750019,true,true,true,true,true,true,true,true,true,true,true
GATE,1,outward-pressure-block,0x886150000,true,true,false,4,5,8,1,1,0,14:3:false|14:3:true,14,,,false,true,true,110,1760,18316263397714317224,8614954201846517783,8277724079002324736,true,true,true,true,true,true,true,true,true,true,true
GATE,1,unrelated-inner-activity,0x886160000,true,true,true,4,5,8,0,0,0,,,,,true,true,true,1158,1760,8878622070310162846,5125692569738172367,15375057308474067704,true,true,true,true,true,true,true,true,true,true,true
GATE,1,no-arrival,0x886170000,true,true,false,4,5,8,0,0,0,,,,,true,true,true,0,1760,15841445899090890479,15841445899090890479,1759103392513337151,true,true,true,true,true,true,true,true,true,true,true
