stage,seed,condition,namespace,mirrored,reverse_allocation,reverse_insertion,participant_delay,outward_delay,unrelated_load,a_firings,b_firings,negative_firings,convergence_inputs,convergence_tick,crossing_ticks,outer_ticks,outward_live,naturally_quiescent,duplicate_exact,work,persistent_bytes,start_fingerprint,end_fingerprint,permanent_fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,row_pass
MICRO,0,coincident-positive,0x882000000,false,false,false,3,2,4,1,1,0,3:3:false|3:3:true,3,3,5,true,true,true,126,1760,8722429688012452799,4678750903542601989,17859245813094424649,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,skewed-positive,0x882010000,false,false,true,3,2,4,1,1,0,3:3:false|5:3:true,5,5,7,true,true,true,126,1760,14283293284324369700,13057582521553497702,17952566486126264402,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,first-positive-only,0x882020000,false,false,false,3,2,4,1,0,0,3:3:false,,,,true,true,true,36,1760,2869507671261574668,482357491746846816,4592944970103728048,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,second-positive-only,0x882030000,false,false,true,3,2,4,0,1,0,3:3:false,,,,true,true,true,36,1760,16584658333393713844,14109915338148338355,793287357839797251,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,ordinary-negative-block,0x882040000,false,false,false,3,2,4,1,1,1,3:-3:false|3:3:false|3:3:false,,,,true,true,true,126,1760,4449170819182366271,8242697295229822016,12417993722845168910,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,outward-pressure-block,0x882050000,false,false,true,3,2,4,1,1,0,13:3:false|13:3:true,13,,,false,true,true,110,1760,13047121164290905200,3801961604614579849,6821745864911184271,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,unrelated-inner-activity,0x882060000,false,false,false,3,2,4,0,0,0,,,,,true,true,true,510,1760,3332841678055045317,8324042749717342793,15361223339582934318,true,true,true,true,true,true,true,true,true,true,true
MICRO,0,no-arrival,0x882070000,false,false,true,3,2,4,0,0,0,,,,,true,true,true,0,1760,13531466937999383012,13531466937999383012,2340574881983763700,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,coincident-positive,0x882100000,true,true,true,4,5,8,1,1,0,4:3:false|4:3:true,4,4,9,true,true,true,128,1760,4906326000528637997,4969954835321663822,1063373794181986186,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,skewed-positive,0x882110000,true,true,false,4,5,8,1,1,0,4:3:false|6:3:true,6,6,11,true,true,true,142,1760,57732841492670464,32039902241586403,9271900117794546083,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,first-positive-only,0x882120000,true,true,true,4,5,8,1,0,0,4:3:false,,,,true,true,true,36,1760,11288345599052444237,15831089422771125827,7234256165052079405,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,second-positive-only,0x882130000,true,true,false,4,5,8,0,1,0,4:3:false,,,,true,true,true,36,1760,5088310645774382019,1912348593071061004,7586129005007743324,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,ordinary-negative-block,0x882140000,true,true,true,4,5,8,1,1,1,4:-3:false|4:3:false|4:3:false,,,,true,true,true,126,1760,6596404427626964208,17080863254452662908,2268078255541246776,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,outward-pressure-block,0x882150000,true,true,false,4,5,8,1,1,0,14:3:false|14:3:true,14,,,false,true,true,110,1760,9292318767205031049,15660769175952141076,17898672805394039979,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,unrelated-inner-activity,0x882160000,true,true,true,4,5,8,0,0,0,,,,,true,true,true,1172,1760,14819853958756998554,6165822168620710705,825562560770313524,true,true,true,true,true,true,true,true,true,true,true
MICRO,1,no-arrival,0x882170000,true,true,false,4,5,8,0,0,0,,,,,true,true,true,0,1760,18178052745178638901,18178052745178638901,5450026850330289125,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,coincident-positive,0x882200000,false,false,false,5,4,12,1,1,0,5:3:false|5:3:true,5,5,9,true,true,true,126,1760,13006478992079301007,14594596542646074826,14887612605254480032,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,skewed-positive,0x882210000,false,false,true,5,4,12,1,1,0,5:3:false|7:3:true,7,7,11,true,true,true,140,1760,12212482612546514262,17105752499632798361,14066636815140468085,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,first-positive-only,0x882220000,false,false,false,5,4,12,1,0,0,5:3:false,,,,true,true,true,38,1760,9322814972411059936,13798245531082324342,3423221767648989144,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,second-positive-only,0x882230000,false,false,true,5,4,12,0,1,0,5:3:false,,,,true,true,true,38,1760,10714857149768884188,1193934798187061494,16113856042636236364,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,ordinary-negative-block,0x882240000,false,false,false,5,4,12,1,1,1,5:-3:false|5:3:false|5:3:false,,,,true,true,true,132,1760,15588612923015940035,2638997649882545492,17532734413364593092,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,outward-pressure-block,0x882250000,false,false,true,5,4,12,1,1,0,15:3:false|15:3:true,15,,,false,true,true,114,1760,11128937235746815266,6260518446030428992,11624163851407497084,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,unrelated-inner-activity,0x882260000,false,false,false,5,4,12,0,0,0,,,,,true,true,true,1940,1760,116899558640938456,18287283708569962796,1422031840890911221,true,true,true,true,true,true,true,true,true,true,true
MICRO,2,no-arrival,0x882270000,false,false,true,5,4,12,0,0,0,,,,,true,true,true,0,1760,14468481596127150783,14468481596127150783,2517035172604947071,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,coincident-positive,0x882300000,true,true,true,6,3,24,1,1,0,6:3:false|6:3:true,6,6,9,true,true,true,126,1760,15873759526108225436,14083564729108460442,14637972256447615172,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,skewed-positive,0x882310000,true,true,false,6,3,24,1,1,0,6:3:false|8:3:true,8,8,11,true,true,true,140,1760,15621465714698584365,4007028786362257434,9458323507408731776,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,first-positive-only,0x882320000,true,true,true,6,3,24,1,0,0,6:3:false,,,,true,true,true,38,1760,14832456732926418890,12419055460767410623,11184697713329150271,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,second-positive-only,0x882330000,true,true,false,6,3,24,0,1,0,6:3:false,,,,true,true,true,38,1760,2049764896344814498,14609748691180053165,6366277341397092385,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,ordinary-negative-block,0x882340000,true,true,true,6,3,24,1,1,1,6:-3:false|6:3:false|6:3:false,,,,true,true,true,132,1760,6414078745407328049,7109123601821673080,6377837553994994118,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,outward-pressure-block,0x882350000,true,true,false,6,3,24,1,1,0,16:3:false|16:3:true,16,,,false,true,true,114,1760,7762989862693616102,7275892237847627864,17374193164182203515,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,unrelated-inner-activity,0x882360000,true,true,true,6,3,24,0,0,0,,,,,true,true,true,5086,1760,13368183201903974081,12336971881535378449,8823592766511925522,true,true,true,true,true,true,true,true,true,true,true
MICRO,3,no-arrival,0x882370000,true,true,false,6,3,24,0,0,0,,,,,true,true,true,0,1760,8738521020955323844,8738521020955323844,11234691440726230052,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,coincident-positive,0x882400000,false,false,false,3,2,4,1,1,0,3:3:false|3:3:true,3,3,5,true,true,true,126,1760,429332251845939143,7083247495649826219,15840926411915804431,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,skewed-positive,0x882410000,false,false,true,3,2,4,1,1,0,3:3:false|5:3:true,5,5,7,true,true,true,126,1760,15684495619667012681,5085116902757348013,11705493745885175627,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,first-positive-only,0x882420000,false,false,false,3,2,4,1,0,0,3:3:false,,,,true,true,true,36,1760,6233567174994921334,110599195043939056,14605606476909500210,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,second-positive-only,0x882430000,false,false,true,3,2,4,0,1,0,3:3:false,,,,true,true,true,36,1760,1489277910756474012,8048442920053023061,10793712716618107013,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,ordinary-negative-block,0x882440000,false,false,false,3,2,4,1,1,1,3:-3:false|3:3:false|3:3:false,,,,true,true,true,126,1760,17740839956055631954,16846600975884106950,5853845571429090758,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,outward-pressure-block,0x882450000,false,false,true,3,2,4,1,1,0,13:3:false|13:3:true,13,,,false,true,true,110,1760,3222767925261159564,9239515629759309448,11199548012454911700,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,unrelated-inner-activity,0x882460000,false,false,false,3,2,4,0,0,0,,,,,true,true,true,510,1760,18399571024225093885,7364131462261960417,14089410751325838,true,true,true,true,true,true,true,true,true,true,true
MICRO,4,no-arrival,0x882470000,false,false,true,3,2,4,0,0,0,,,,,true,true,true,0,1760,6843916289581912219,6843916289581912219,9530449891497533307,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,coincident-positive,0x882500000,true,true,true,4,5,8,1,1,0,4:3:false|4:3:true,4,4,9,true,true,true,128,1760,10968694982325101843,13432881186126631107,2813879016286656151,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,skewed-positive,0x882510000,true,true,false,4,5,8,1,1,0,4:3:false|6:3:true,6,6,11,true,true,true,142,1760,2212491398425636670,7099628651433471248,7725287706813019456,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,first-positive-only,0x882520000,true,true,true,4,5,8,1,0,0,4:3:false,,,,true,true,true,36,1760,10801218627741664239,3269200831371386461,8626911907367922289,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,second-positive-only,0x882530000,true,true,false,4,5,8,0,1,0,4:3:false,,,,true,true,true,36,1760,7229571970433797944,15280015175452733899,5955548906601791447,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,ordinary-negative-block,0x882540000,true,true,true,4,5,8,1,1,1,4:-3:false|4:3:false|4:3:false,,,,true,true,true,126,1760,13987222486447606550,10616644462568900930,3190875089734269408,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,outward-pressure-block,0x882550000,true,true,false,4,5,8,1,1,0,14:3:false|14:3:true,14,,,false,true,true,110,1760,6966631550138477557,2685215399523788076,16714931977520184289,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,unrelated-inner-activity,0x882560000,true,true,true,4,5,8,0,0,0,,,,,true,true,true,1172,1760,4762262652858484508,911370319459034471,12317310890052160482,true,true,true,true,true,true,true,true,true,true,true
MICRO,5,no-arrival,0x882570000,true,true,false,4,5,8,0,0,0,,,,,true,true,true,0,1760,452533788148581240,452533788148581240,7340874192689288696,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,coincident-positive,0x882600000,false,false,false,5,4,12,1,1,0,5:3:false|5:3:true,5,5,9,true,true,true,126,1760,6503131729428679789,1345891799585013817,4844990153948890715,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,skewed-positive,0x882610000,false,false,true,5,4,12,1,1,0,5:3:false|7:3:true,7,7,11,true,true,true,140,1760,9238159856938357776,10488963358789742037,3914876272961427347,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,first-positive-only,0x882620000,false,false,false,5,4,12,1,0,0,5:3:false,,,,true,true,true,38,1760,11708779911710701755,11104582673493123031,8296254135997511475,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,second-positive-only,0x882630000,false,false,true,5,4,12,0,1,0,5:3:false,,,,true,true,true,38,1760,16260567100335223863,1743416882372797827,7537591624693601467,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,ordinary-negative-block,0x882640000,false,false,false,5,4,12,1,1,1,5:-3:false|5:3:false|5:3:false,,,,true,true,true,132,1760,17287187448915421967,14076572472949003620,10452471267209300628,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,outward-pressure-block,0x882650000,false,false,true,5,4,12,1,1,0,15:3:false|15:3:true,15,,,false,true,true,114,1760,8338834961660198147,7778716347899231755,11640353327005934913,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,unrelated-inner-activity,0x882660000,false,false,false,5,4,12,0,0,0,,,,,true,true,true,1940,1760,15449172104624809462,17810749233030334322,2273143583636196847,true,true,true,true,true,true,true,true,true,true,true
MICRO,6,no-arrival,0x882670000,false,false,true,5,4,12,0,0,0,,,,,true,true,true,0,1760,12019010597637836029,12019010597637836029,7793451061466851677,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,coincident-positive,0x882700000,true,true,true,6,3,24,1,1,0,6:3:false|6:3:true,6,6,9,true,true,true,126,1760,8884538973556538814,14779393855031960866,3198230206331532618,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,skewed-positive,0x882710000,true,true,false,6,3,24,1,1,0,6:3:false|8:3:true,8,8,11,true,true,true,140,1760,7666670367864842812,11241103747509677596,11911376279714066426,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,first-positive-only,0x882720000,true,true,true,6,3,24,1,0,0,6:3:false,,,,true,true,true,38,1760,12087670027114706350,18159540398232823786,7515021329373937736,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,second-positive-only,0x882730000,true,true,false,6,3,24,0,1,0,6:3:false,,,,true,true,true,38,1760,2174447398911414748,5843808499689338723,531609870744987661,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,ordinary-negative-block,0x882740000,true,true,true,6,3,24,1,1,1,6:-3:false|6:3:false|6:3:false,,,,true,true,true,132,1760,8585110807245816885,15872173201567544715,8806142356063019441,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,outward-pressure-block,0x882750000,true,true,false,6,3,24,1,1,0,16:3:false|16:3:true,16,,,false,true,true,114,1760,4539072317726992500,2114404437429559579,16181491615938486612,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,unrelated-inner-activity,0x882760000,true,true,true,6,3,24,0,0,0,,,,,true,true,true,5086,1760,17632704678808990213,15110295078159843705,5683850511603019238,true,true,true,true,true,true,true,true,true,true,true
MICRO,7,no-arrival,0x882770000,true,true,false,6,3,24,0,0,0,,,,,true,true,true,0,1760,2196213742033490567,2196213742033490567,5697753040794632727,true,true,true,true,true,true,true,true,true,true,true
