stage,seed,condition,namespace,mirrored,reverse_allocation,reverse_insertion,participant_delay,outward_delay,unrelated_load,a_firings,b_firings,negative_firings,convergence_inputs,convergence_tick,crossing_ticks,outer_ticks,outward_live,naturally_quiescent,duplicate_exact,work,persistent_bytes,start_fingerprint,end_fingerprint,permanent_fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,row_pass
PROBE,0,coincident-positive,0x880000000,false,false,false,3,2,0,1,1,0,3:3:false|3:3:true,3,3,5,true,true,true,126,1760,8459379632617658745,11033082629367310969,14336239398143700605,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,skewed-positive,0x880010000,false,false,true,3,2,0,1,1,0,3:3:false|5:3:true,5,5,7,true,true,true,126,1760,11288015643061707523,750887822749116563,4066480385324938049,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,first-positive-only,0x880020000,false,false,false,3,2,0,1,0,0,3:3:false,,,,true,true,true,36,1760,5922356907661117764,5461318499936192618,8666699218723385224,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,second-positive-only,0x880030000,false,false,true,3,2,0,0,1,0,3:3:false,,,,true,true,true,36,1760,16757343530406708790,16640460246024386823,4022159764782984483,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,ordinary-negative-block,0x880040000,false,false,false,3,2,0,1,1,1,3:-3:false|3:3:false|3:3:false,,,,true,true,true,126,1760,10116824730704501504,18196680669441982780,211857085055532812,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,outward-pressure-block,0x880050000,false,false,true,3,2,0,1,1,0,13:3:false|13:3:true,13,,,false,true,true,110,1760,10773605518572715206,10131144819978433318,8691291998808215438,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,unrelated-inner-activity,0x880060000,false,false,false,3,2,0,0,0,0,,,,,true,true,true,510,1760,10630318174405883455,9679865453941732615,10285237056636118832,true,true,true,true,true,true,true,true,true,true,true
PROBE,0,no-arrival,0x880070000,false,false,true,3,2,0,0,0,0,,,,,true,true,true,0,1760,13484310997772169597,13484310997772169597,2104601688502336125,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,coincident-positive,0x880100000,true,true,true,4,5,4,1,1,0,4:3:false|4:3:true,4,4,9,true,true,true,128,1760,14096909566409815009,11380941592934691857,14285334839467223173,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,skewed-positive,0x880110000,true,true,false,4,5,4,1,1,0,4:3:false|6:3:true,6,6,11,true,true,true,142,1760,1212377930126957012,12802502149147511778,8721551037108890906,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,first-positive-only,0x880120000,true,true,true,4,5,4,1,0,0,4:3:false,,,,true,true,true,36,1760,10870704038761361069,2454400035438863947,11424589575061810123,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,second-positive-only,0x880130000,true,true,false,4,5,4,0,1,0,4:3:false,,,,true,true,true,36,1760,16834431201350042754,12086708959130357217,10361795542116459305,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,ordinary-negative-block,0x880140000,true,true,true,4,5,4,1,1,1,4:-3:false|4:3:false|4:3:false,,,,true,true,true,126,1760,5992073804528444208,7369022350719637140,10796882549608391822,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,outward-pressure-block,0x880150000,true,true,false,4,5,4,1,1,0,14:3:false|14:3:true,14,,,false,true,true,110,1760,13468087886291882471,11368026807547998974,13528461320607886715,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,unrelated-inner-activity,0x880160000,true,true,true,4,5,4,0,0,0,,,,,true,true,true,510,1760,3526292145180704562,1550451053558982262,17686144621145581041,true,true,true,true,true,true,true,true,true,true,true
PROBE,1,no-arrival,0x880170000,true,true,false,4,5,4,0,0,0,,,,,true,true,true,0,1760,730564207627104634,730564207627104634,6513985821986717850,true,true,true,true,true,true,true,true,true,true,true
