stage,seed,condition,namespace,mirrored,reverse_allocation,reverse_insertion,participant_delay,outward_delay,unrelated_load,a_firings,b_firings,negative_firings,convergence_inputs,convergence_tick,crossing_ticks,outer_ticks,outward_live,naturally_quiescent,duplicate_exact,work,persistent_bytes,start_fingerprint,end_fingerprint,permanent_fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,row_pass
PROBE_V2,0,coincident-positive,0x881000000,false,false,false,3,2,4,1,1,0,3:3:false|3:3:true,3,3,5,true,true,true,126,1760,18350670482816199966,8315940675287636899,11298243331797586497,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,skewed-positive,0x881010000,false,false,true,3,2,4,1,1,0,3:3:false|5:3:true,5,5,7,true,true,true,126,1760,5264466221497063755,13415599025704597829,12706294775765303599,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,first-positive-only,0x881020000,false,false,false,3,2,4,1,0,0,3:3:false,,,,true,true,true,36,1760,14015105464590785161,2558449094816868538,4893655983562774984,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,second-positive-only,0x881030000,false,false,true,3,2,4,0,1,0,3:3:false,,,,true,true,true,36,1760,11965267383790774773,13083325544778117108,13723127675682707030,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,ordinary-negative-block,0x881040000,false,false,false,3,2,4,1,1,1,3:-3:false|3:3:false|3:3:false,,,,true,true,true,126,1760,1432808813373076698,4929302901979118836,5237828252990092356,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,outward-pressure-block,0x881050000,false,false,true,3,2,4,1,1,0,13:3:false|13:3:true,13,,,false,true,true,110,1760,17198645440250975083,4480274769978914121,3042431878402149103,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,unrelated-inner-activity,0x881060000,false,false,false,3,2,4,0,0,0,,,,,true,true,true,504,1760,7849800405592222025,7208717783301868875,17315426403235731530,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,0,no-arrival,0x881070000,false,false,true,3,2,4,0,0,0,,,,,true,true,true,0,1760,14825967871851272742,14825967871851272742,8956062008734134582,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,coincident-positive,0x881100000,true,true,true,4,5,8,1,1,0,4:3:false|4:3:true,4,4,9,true,true,true,128,1760,4396968320969896725,10891778393026626776,10400811911673651702,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,skewed-positive,0x881110000,true,true,false,4,5,8,1,1,0,4:3:false|6:3:true,6,6,11,true,true,true,142,1760,6340972868474619592,5094631358485642186,14132755584498354870,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,first-positive-only,0x881120000,true,true,true,4,5,8,1,0,0,4:3:false,,,,true,true,true,36,1760,18409523733542638211,14681361002533851493,3569603934815912321,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,second-positive-only,0x881130000,true,true,false,4,5,8,0,1,0,4:3:false,,,,true,true,true,36,1760,17559317434046355727,7207690089163036789,12434632033746345365,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,ordinary-negative-block,0x881140000,true,true,true,4,5,8,1,1,1,4:-3:false|4:3:false|4:3:false,,,,true,true,true,126,1760,9652599354714365884,10911221095757934406,13307337132371631404,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,outward-pressure-block,0x881150000,true,true,false,4,5,8,1,1,0,14:3:false|14:3:true,14,,,false,true,true,110,1760,9480463801836045311,6390358111104844669,2415492540052102784,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,unrelated-inner-activity,0x881160000,true,true,true,4,5,8,0,0,0,,,,,true,true,true,1172,1760,1533844080801169088,17779834119273771795,12452135812038478750,true,true,true,true,true,true,true,true,true,true,true
PROBE_V2,1,no-arrival,0x881170000,true,true,false,4,5,8,0,0,0,,,,,true,true,true,0,1760,12313824204348057621,12313824204348057621,9933994154611308997,true,true,true,true,true,true,true,true,true,true,true
