root,reverse,reflect,origin,construction_tick,pressure_origin,first_arrival_tick,batches,paired_held,selective_held,retained,partial,adjacent_first,adjacent_second,duplicated,resisted,direct,duplicate_direct,open,fork,ring,aged,formation_updates,formation_modulation,age_deallocations,max_work,max_bytes,batch_outputs,batch_work,batch_bytes,all_quiet,outward_only,replay,clauses,passed
3200001,false,false,520,520,520,520,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200002,false,false,650,650,650,650,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200003,false,false,780,780,780,780,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200004,false,false,910,910,910,910,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200005,true,false,520,520,520,520,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200006,true,false,650,650,650,650,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200007,true,false,780,780,780,780,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200008,true,false,910,910,910,910,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200009,false,true,520,520,520,520,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200010,false,true,650,650,650,650,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200011,false,true,780,780,780,780,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200012,false,true,910,910,910,910,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200013,true,true,520,520,520,520,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200014,true,true,650,650,650,650,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200015,true,true,780,780,780,780,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
3200016,true,true,910,910,910,910,10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,70,80,5,105446,39248,2|2|2|0|4|4|4|0|0|0,56716|62641|96512|66888|104242|105446|61981|8899|400|1161,38416|38480|38864|38864|39184|39184|39184|39184|39248|39248,true,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
