original_category,primary_kind,layer,path,line,match,semantic_risk,evaluator_input_risk,source_line
"begin_episode","episode_reset_boundary","PX8","src/post_m7_ds5_closure_emission.rs",573,"begin_episode",0,0,"    operation.lookup.begin_episode();"
"erase_temporary","manual_temporary_cleanup","PX8","src/post_m7_ds5_closure_emission.rs",637,"erase_temporary",0,0,"    operation.lookup.erase_temporary();"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",765,"frozen_m3::source_ok(",1,0,"            passed: frozen_m3::source_ok(),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",786,"frozen_m3::run_arm_a(",0,0,"        frozen_m3::run_arm_a(),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",846,"frozen_m3::run_micro_cell(",0,0,"        frozen_m3::run_micro_cell(107_000, false),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",847,"frozen_m3::run_micro_cell(",0,0,"        frozen_m3::run_micro_cell(108_000, true),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",897,"frozen_m3::run_matched_cell(",0,0,"        frozen_m3::run_matched_cell(109_000, false),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX4","src/ds6_cumulative_lifetime_probe.rs",898,"frozen_m3::run_matched_cell(",0,0,"        frozen_m3::run_matched_cell(110_000, true),"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",352,"frozen_m4::authority_exact(",0,1,"        let cumulative_m4 = frozen_m4::authority_exact(seed);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",408,"frozen_allocator::run_gate_cell(",0,1,"                .map(move |load| frozen_allocator::run_gate_cell(seed, load))"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX5","src/ds7_cumulative_plasticity_targeting_probe.rs",434,"frozen_m3::run_gate_cell(",0,1,"        let cell = frozen_m3::run_gate_cell(seed);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX5","src/ds7_cumulative_plasticity_targeting_probe.rs",619,"frozen_m4::authority_exact(",0,1,"    let m4_exact = frozen_m4::authority_exact(PROBE_SEED);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX6","src/ds8_cumulative_semantic_credit_gate.rs",518,"frozen_linker::run_cell(",0,1,"                .map(move |load| frozen_linker::run_cell(seed, load, controls))"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX6","src/ds8_cumulative_semantic_credit_probe.rs",679,"frozen_m5::run_internal(",0,1,"    let internal = frozen_m5::run_internal(PROBE_SEED);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",105,"frozen_m3::ds4_event_state(",0,0,"        let state = frozen_m3::ds4_event_state(&gate.0);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",129,"frozen_pre_m6_ds4::run_probe(",0,0,"    let old = frozen_pre_m6_ds4::run_probe();"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",510,"frozen_m6::apply_recurrence(",0,0,"            acquire && selected && super::frozen_m6::apply_recurrence(credit, recurrent_activity);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",705,"frozen_pre_m6_ds4::arrival_gate(",0,1,"        let Some(mut event_gate) = frozen_pre_m6_ds4::arrival_gate(seed, 2) else {"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",708,"frozen_request::session(",0,1,"        let mut request = frozen_request::session(seed as usize);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",709,"frozen_m6::credit_gate(",0,1,"        let mut credit = frozen_m6::credit_gate(seed);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",714,"frozen_pre_m6_ds4::arrival_activity(",0,0,"            let activity = frozen_pre_m6_ds4::arrival_activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",720,"frozen_request::step(",0,0,"                frozen_request::step(&mut request, &mut credit, activity.completion, true, false);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",728,"frozen_request::ready(",0,0,"            if frozen_request::ready(&request) {"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",737,"frozen_request::roles(",0,0,"        single_roles += usize::from(frozen_request::roles(&request) == 1);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",738,"frozen_m6::credit_state(",0,0,"        credit_observations += frozen_m6::credit_state(&credit).observations;"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",740,"frozen_pre_m6_ds4::arrival_state(",0,0,"        let before_m3 = frozen_pre_m6_ds4::arrival_state(&event_gate);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",741,"frozen_request::fingerprint(",0,0,"        let before_p4 = frozen_request::fingerprint(&request);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",742,"frozen_m6::credit_state(",0,0,"        let before_m6 = frozen_m6::credit_state(&credit);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",752,"frozen_pre_m6_ds4::arrival_activity(",0,1,"                frozen_pre_m6_ds4::arrival_activity(&mut event_gate, event_seed, fixture);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",755,"frozen_request::step(",0,0,"                frozen_request::step(&mut request, &mut credit, activity.completion, false, false);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",766,"frozen_pre_m6_ds4::arrival_state(",0,0,"        m3_nonplastic &= before_m3 == frozen_pre_m6_ds4::arrival_state(&event_gate);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",767,"frozen_request::fingerprint(",0,0,"        p4_nonplastic &= before_p4 == frozen_request::fingerprint(&request);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",768,"frozen_m6::credit_state(",0,0,"        m6_nonplastic &= before_m6 == frozen_m6::credit_state(&credit);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",770,"frozen_request::step(",0,0,"        let no_arrival_step = frozen_request::step(&mut request, &mut credit, 0, false, false);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",776,"frozen_pre_m6_ds4::arrival_gate(",0,1,"        let mut weak_gate = frozen_pre_m6_ds4::arrival_gate(seed + 200_000, 1);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",780,"frozen_pre_m6_ds4::arrival_activity(",0,1,"                frozen_pre_m6_ds4::arrival_activity(gate, seed + 200_100, ArrivalFixture::Standard)"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",782,"frozen_request::session(",0,1,"        let mut weak_request = frozen_request::session((seed + 200_000) as usize);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",783,"frozen_m6::credit_gate(",0,1,"        let mut weak_credit = frozen_m6::credit_gate(seed + 200_000);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",784,"frozen_request::step(",0,0,"        let weak_step = frozen_request::step("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",79,"frozen_m3::ds4_event_gate(",0,1,"        frozen_m3::ds4_event_gate(seed, acquisition).map(ArrivalGate)"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",797,"frozen_pre_m6_ds4::arrival_activity(",0,0,"        let missing = frozen_pre_m6_ds4::arrival_activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",802,"frozen_pre_m6_ds4::arrival_activity(",0,0,"        let invalid = frozen_pre_m6_ds4::arrival_activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",807,"frozen_pre_m6_ds4::arrival_activity(",0,0,"        let reentry = frozen_pre_m6_ds4::arrival_activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",815,"frozen_pre_m6_ds4::arrival_gate(",0,1,"        let Some(mut symmetric_event) = frozen_pre_m6_ds4::arrival_gate(seed + 300_000, 2) else {"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",819,"frozen_request::session(",0,1,"        let mut symmetric_request = frozen_request::session((seed + 300_000) as usize);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",820,"frozen_m6::credit_gate(",0,1,"        let mut symmetric_credit = frozen_m6::credit_gate(seed + 300_000);"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",822,"frozen_pre_m6_ds4::arrival_activity(",0,0,"            let activity = frozen_pre_m6_ds4::arrival_activity("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",827,"frozen_request::step(",0,0,"            let _ = frozen_request::step("
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",835,"frozen_request::ready(",0,0,"        symmetric_rejected &= !frozen_request::ready(&symmetric_request)"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",836,"frozen_request::roles(",0,0,"            && frozen_request::roles(&symmetric_request) == 0"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",837,"frozen_m6::credit_state(",0,0,"            && frozen_m6::credit_state(&symmetric_credit).observations == 0;"
"explicit_mechanism_invocation","explicit_mechanism_invocation","PX7","src/post_m6_ds4_arrival_initiation.rs",840,"frozen_m6::controls(",0,1,"    let credit_controls = frozen_m6::controls(seeds.first().copied().unwrap_or(PROBE_RETRY_SEED));"
