root,reverse,reflect,origin,origin_modulus,construction_tick,pressure_origin,first_arrival_tick,construction_minus_pressure,first_arrival_minus_construction,pair_updates,pair_impulses,formation_updates,completed_outward,duplicate_outward,incomplete_outward,blocked_outward,stale_outward,stale_proposals,stale_before,stale_after,max_work,max_bytes,quiescent,replay,clauses,passed
1175001,false,false,0,0,0,0,0,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175002,false,false,130,0,130,130,130,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14788,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175003,false,false,260,0,260,260,260,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14758,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175004,false,false,390,0,390,390,390,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14728,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175005,true,false,0,0,0,0,0,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175006,true,false,130,0,130,130,130,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14788,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175007,true,false,260,0,260,260,260,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14758,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175008,true,false,390,0,390,390,390,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14728,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175009,false,true,0,0,0,0,0,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175010,false,true,130,0,130,130,130,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14788,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175011,false,true,260,0,260,260,260,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14758,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175012,false,true,390,0,390,390,390,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14728,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175013,true,true,0,0,0,0,0,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14750,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175014,true,true,130,0,130,130,130,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14788,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175015,true,true,260,0,260,260,260,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14758,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
1175016,true,true,390,0,390,390,390,0,0,2,2|2,12,1,1,0,0,0,1,5488,5552,14728,5552,true,true,true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true|true,true
