world,partition,resident_arenas,arena_hops,arena_lookups,active_arena_samples,active_arena_total,active_arena_max,peak_resident_bytes,queue_ops,comparisons,scans,allocations,bytes_touched,passed
global_order,P1_two_contiguous,2,64,320,128,128,1,38368,66,11970,8192,391,2244096,true
global_order,P2_four_contiguous,4,64,384,128,192,2,41568,66,7874,8192,394,1806336,true
global_order,P3_striped,4,64,692,128,500,4,41568,66,5550,8192,398,1587456,true
global_order,P4_deterministic_random,1,0,320,128,128,1,36768,66,11970,8192,391,2244096,true
global_order,P5_adversarial,2,64,444,128,252,2,38368,66,7814,8192,394,1806336,true
global_order,P6_aggressive,128,64,4352,128,4160,64,267616,66,0,8192,450,1382256,true
dense_layers,P1_two_contiguous,2,128,1632,417,480,2,108768,391,88491,138195,1017,18366536,true
dense_layers,P2_four_contiguous,4,384,1696,417,544,2,111968,391,83639,138195,1017,18021800,true
dense_layers,P3_striped,4,288,2804,417,1652,4,111968,391,47749,138195,1047,14162744,true
dense_layers,P4_deterministic_random,1,0,1568,417,416,1,107168,391,93343,138195,1017,18711272,true
dense_layers,P5_adversarial,2,192,1980,417,828,2,108768,391,63359,138195,1029,15678920,true
dense_layers,P6_aggressive,128,384,11642,417,10490,41,317280,391,25677,138195,1095,12814760,true
modulation,P1_two_contiguous,2,128,576,192,192,1,50656,131,17955,14496,653,3353856,true
modulation,P2_four_contiguous,4,128,672,192,288,2,53856,131,11811,14496,659,2697216,true
modulation,P3_striped,4,0,1134,192,750,4,53856,131,8325,14496,667,2368896,true
modulation,P4_deterministic_random,1,0,576,192,192,1,49056,131,17955,14496,653,3353856,true
modulation,P5_adversarial,2,0,762,192,378,2,50656,131,11721,14496,659,2697216,true
modulation,P6_aggressive,128,128,6624,192,6240,64,293728,131,0,14496,771,2061096,true
long_delay,P1_two_contiguous,2,64,351,160,159,1,38944,97,10947,2622,456,1659536,true
long_delay,P2_four_contiguous,4,64,477,160,285,2,55968,97,7781,2622,493,1364624,true
long_delay,P3_striped,4,0,804,160,612,4,42144,97,5982,2622,469,1224080,true
long_delay,P4_deterministic_random,1,0,351,160,159,1,37344,97,10947,2622,456,1659536,true
long_delay,P5_adversarial,2,0,502,160,310,2,38944,97,7788,2622,461,1369232,true
long_delay,P6_aggressive,128,64,5344,160,5152,64,268192,97,0,2622,673,1083392,true
zero_delay,P1_two_contiguous,2,32,191,64,95,2,18944,96,1457,2048,257,422400,true
zero_delay,P2_four_contiguous,4,32,222,64,126,3,22432,96,1170,2048,258,385536,true
zero_delay,P3_striped,4,0,340,64,244,4,21856,96,1036,2048,256,383232,true
zero_delay,P4_deterministic_random,1,0,160,64,64,1,17056,96,1984,2048,256,493824,true
zero_delay,P5_adversarial,2,0,220,64,124,2,18656,96,1412,2048,256,420096,true
zero_delay,P6_aggressive,64,32,1152,64,1056,32,133984,96,0,2048,288,350976,true
proposal_lifecycle,P1_two_contiguous,2,0,22,12,10,1,6592,10,7,14,30,6808,true
proposal_lifecycle,P2_four_contiguous,4,2,26,12,14,2,9792,10,2,14,30,6736,true
proposal_lifecycle,P3_striped,4,4,27,12,15,3,9792,10,1,14,30,6736,true
proposal_lifecycle,P4_deterministic_random,1,0,22,12,10,1,4992,10,7,14,30,6808,true
proposal_lifecycle,P5_adversarial,2,2,26,12,14,2,6592,10,2,14,30,6736,true
proposal_lifecycle,P6_aggressive,8,4,27,12,15,3,16192,10,1,14,30,6736,true
