row_type,protocol,smoke,passed,arm,seed_index,episode,competent,competent_seeds,total_seeds,first_roles_episode,first_success_episode,competence_episode,learned_roles,live_arrows,consolidated_arrows,correct_program_arrows,proposed_arrows,pruned_arrows,actual_success,topology_correct,held_out_correct,held_out_total,role_transfer_correct,role_transfer_total,explicit_answers,queues_empty,activity_limit_hits,fallbacks,permanent_source_identities,fingerprint_unchanged,duplicate_deterministic,training_work,evaluation_work,permanent_bytes,p0_anchor,p3_anchor,gate,gate_passed,workspaces_created,workspaces_destroyed,maximum_live_workspaces
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,687,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,1471,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,16,,,,,,,10,88,0,,,,false,false,,,,,,,,,,,,17940,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,64,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,109794,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,127,,,,,,,10,90,0,,,,true,false,,,,,,,,,,,,163989,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,256,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,337816,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,385,,,,,,,10,74,2,,,,true,false,,,,,,,,,,,,536420,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,1024,,,,,,,10,90,2,,,,false,false,,,,,,,,,,,,666473,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,26,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,52,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,4,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,104,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,8,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,208,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,16,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,416,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,64,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,1664,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,256,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,6656,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,1024,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,26624,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,687,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,1481,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,16,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,10513,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,64,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,69379,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,111,,,,,,,10,90,0,,,,true,false,,,,,,,,,,,,113790,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,256,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,266178,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,1024,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,1339725,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,687,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,1471,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,16,,,,,,,10,88,0,,,,false,false,,,,,,,,,,,,17940,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,64,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,109794,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,127,,,,,,,10,89,0,,,,true,false,,,,,,,,,,,,163989,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,256,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,349737,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,1024,,,,,,,10,88,0,,,,false,false,,,,,,,,,,,,1263054,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,687,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,1471,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,16,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,3050,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,64,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,56640,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,256,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,322276,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,533,,,,,,,10,90,0,,,,true,false,,,,,,,,,,,,673275,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,1024,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,1221535,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,86,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,217,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,4,,,,,,,9,72,0,,,,false,false,,,,,,,,,,,,591,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,8,,,,,,,9,72,0,,,,false,false,,,,,,,,,,,,1263,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,16,,,,,,,9,70,0,,,,false,false,,,,,,,,,,,,17530,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,64,,,,,,,9,72,0,,,,false,false,,,,,,,,,,,,120429,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,81,,,,,,,9,72,0,,,,true,false,,,,,,,,,,,,153113,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,256,,,,,,,9,72,0,,,,false,false,,,,,,,,,,,,184686,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,1024,,,,,,,9,72,0,,,,false,false,,,,,,,,,,,,323310,,,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,0,,false,,,4,127,,10,,2,1,481,391,,,0,8,80,80,true,true,0,0,0,true,true,1475589,960,6608,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,activity-only,0,,false,,,,,,0,,0,0,0,0,,,0,8,0,80,false,true,0,0,0,true,true,130000,544,0,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,0,,false,,,4,111,,10,,0,0,5247,5158,,,0,8,80,80,false,true,0,0,0,true,true,6400426,832,6608,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,0,,false,,,4,127,,10,,0,0,5073,4984,,,0,8,80,80,false,true,0,0,0,true,true,6352229,824,6608,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,0,,false,,,4,533,,10,,0,0,1400,1311,,,0,8,80,80,false,true,0,0,0,true,true,6190643,824,6608,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,0,,false,,,,81,,9,,0,0,127,55,,,0,8,80,80,false,true,0,0,0,true,true,1040978,784,6600,true,true,,,,,
seed,reflected-program-discovery-rp0a-v1,true,false,oracle-reflected-program,0,,true,,,,0,0,10,,4,4,0,0,,,8,8,80,80,true,true,0,0,0,true,true,0,1288,0,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,rp0a-integrated,,,,0,1,,,,10.000000,,2.000000,,,,,,0,8,80,80,,,,,,,,1475589,960,6608,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,activity-only,,,,0,1,,,,0.000000,,0.000000,,,,,,0,8,0,80,,,,,,,,130000,544,0,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,shuffled-provenance,,,,0,1,,,,10.000000,,0.000000,,,,,,0,8,80,80,,,,,,,,6400426,832,6608,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,shuffled-terminal-feedback,,,,0,1,,,,10.000000,,0.000000,,,,,,0,8,80,80,,,,,,,,6352229,824,6608,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,random-terminal-feedback,,,,0,1,,,,10.000000,,0.000000,,,,,,0,8,80,80,,,,,,,,6190643,824,6608,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,symmetric-impossible,,,,0,1,,,,9.000000,,0.000000,,,,,,0,8,80,80,,,,,,,,1040978,784,6600,true,true,,,,,
arm,reflected-program-discovery-rp0a-v1,true,false,oracle-reflected-program,,,,1,1,,,0.000000,10.000000,,4.000000,,,,,,8,8,80,80,,,,,,,,0,1288,0,true,true,,,,,
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,frozen-ancestry-and-isolation,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,substrate-native-oracle-execution,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,opaque-reflected-boundary,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,anonymous-reflected-role-formation,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,symmetric-impossible-role-discipline,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,frozen-p0-p3-positive-anchors,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,fresh-integrated-competence,false,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,held-out-execution-transfer,false,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,four-arrow-learned-topology,false,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,controls-discriminate,false,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,read-only-determinism,true,281988,281988,2
gate,reflected-program-discovery-rp0a-v1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,accounting-and-lifecycle,true,281988,281988,2
