row_type,protocol,smoke,passed,arm,seed_index,episode,competent,competent_seeds,total_seeds,first_roles_episode,first_success_episode,competence_episode,learned_roles,live_arrows,consolidated_arrows,correct_program_arrows,proposed_arrows,pruned_arrows,actual_success,topology_correct,held_out_correct,held_out_total,role_transfer_correct,role_transfer_total,explicit_answers,queues_empty,activity_limit_hits,fallbacks,permanent_source_identities,fingerprint_unchanged,duplicate_deterministic,training_work,evaluation_work,permanent_bytes,p0_anchor,p3_anchor,gate,gate_passed,workspaces_created,workspaces_destroyed,maximum_live_workspaces
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,697,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,1491,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,16,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,9446,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,64,,,,,,,10,88,0,,,,false,false,,,,,,,,,,,,69042,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,256,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,240152,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,581,,,,,,,10,90,0,,,,true,false,,,,,,,,,,,,608573,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,1024,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,1119946,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,9653,,,,,,,10,82,1,,,,true,true,,,,,,,,,,,,10739782,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,0,9654,,,,,,,10,66,4,,,,true,true,,,,,,,,,,,,10740059,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,0,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,0,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,1,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,97,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,2,,,,,,,0,0,0,,,,false,false,,,,,,,,,,,,249,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,4,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,7067,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,8,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,7851,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,16,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,15817,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,64,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,63607,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,197,,,,,,,10,90,0,,,,true,false,,,,,,,,,,,,241099,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,256,,,,,,,10,90,0,,,,false,false,,,,,,,,,,,,321410,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,1024,,,,,,,10,89,0,,,,false,false,,,,,,,,,,,,1365821,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,3873,,,,,,,10,74,2,,,,true,true,,,,,,,,,,,,4451732,,,true,true,,,,,
trajectory,reflected-program-discovery-rp0a-v1,false,true,rp0a-integrated,1,3874,,,,,,,10,74,4,,,,true,true,,,,,,,,,,,,4452016,,,true,true,,,,,
