row_type,protocol,rp0b1_passed,rp0b2_evaluated,rp0b2_passed,arm,seed_index,depth,correct,total,explicit_answers,queues_empty,activity_limit_hits,fallbacks,routing_equivalent,fingerprint_unchanged,first_roles,first_success,competence,parity,acquisition_work,installation_work,permanent_bytes,learned_roles,correct_arrows,invocations,provenance_events,provenance_relations,recognition_comparisons,role_activations,binding_writes,binding_reads,arrow_evaluations,target_location_comparisons,route_firings,lower_cells,spikes_enqueued,spikes_dequeued,queue_checks,identity_comparisons,maintenance_updates,runtime_total,carrying_price,break_even,horizon,delta_cost,gate,gate_status,workspaces_created,workspaces_destroyed,maximum_live_workspaces
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,0,,,,,,,,,,4,581,9654,true,10740059,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,1,,,,,,,,,,4,197,3874,true,4452016,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,2,,,,,,,,,,4,117,19500,true,21480745,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,3,,,,,,,,,,4,2481,14838,true,16321757,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,4,,,,,,,,,,4,145,13260,true,15321640,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,5,,,,,,,,,,4,117,20842,true,23786489,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,6,,,,,,,,,,4,57,16803,true,18869627,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,reflected-program-economics-rp0b-v1,false,false,false,,7,,,,,,,,,,4,329,2388,true,2676006,0,6608,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,272,480,480,480,480,1248,0,6288,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,416,720,720,720,720,2304,0,8448,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,800,1360,1360,1360,1360,6528,0,15616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,1568,2640,2640,2640,2640,21120,0,36096,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,3104,5200,5200,5200,5200,74880,0,101632,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,0,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,0,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,192,576,6176,10320,10320,10320,10320,280704,0,331008,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,0,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,272,480,480,480,480,1248,0,6416,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,416,720,720,720,720,2304,0,8576,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,800,1360,1360,1360,1360,6528,0,15744,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,1568,2640,2640,2640,2640,21120,0,36224,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,3104,5200,5200,5200,5200,74880,0,101760,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,64,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,3104,5200,5200,5200,5200,74880,0,98800,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,1,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,1,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,320,576,6176,10320,10320,10320,10320,280704,0,331136,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,1,128,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,6176,10320,10320,10320,10320,280704,0,328176,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,2,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,2,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,448,576,272,480,480,480,480,1248,0,6544,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,2,5,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,272,480,480,480,480,1248,0,3456,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,2,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,2,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,448,576,416,720,720,720,720,2304,0,8704,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,2,8,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,416,720,720,720,720,2304,0,5616,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,2,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,2,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,448,576,800,1360,1360,1360,1360,6528,0,15872,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,2,16,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,800,1360,1360,1360,1360,6528,0,12784,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,concrete,2,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,reflected,2,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,208,208,880,160,320,288,448,576,1568,2640,2640,2640,2640,21120,0,36352,,,,,,,,,
runtime,reflected-program-economics-rp0b-v1,false,false,false,oracle-entry,2,32,16,16,true,true,0,0,true,true,,,,,,,,,,16,0,0,0,0,0,0,0,0,1568,2640,2640,2640,2640,21120,0,33264,,,,,,,,,
