case_id,root,absolute_phase,family,mechanics,class,period_firings,period_ticks,first_firings,continuation_firings,fire_counts,traversals,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,states,naturally_quiescent,ceiling_reached,continuation_ceiling_reached,unbounded_match,trace_hash,continuation_trace_hash,body_hash,live_hash,replay_equal,mechanics_equal,predicate_pass,case_pass
1,5700000,0,one_way_c2_d1_t2,reference,dies,0,0,2,0,1|1,1,2,0,2,1,1/1000000/2,true,false,false,true,98b4ce212803027308e1813fe8f2dbcaeacd563bf32105f317302f38986074bd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a2590be5d41d3124e31ed0d8fa720fe6aa308830bf98b16c83a2120318ccaf66,d28a031d84b1ce9ec656d648274a13877633797290725fb51fc10de2792cb829,true,true,true,true
1,5700000,0,one_way_c2_d1_t2,production,dies,0,0,2,0,1|1,1,2,0,2,1,1/1000000/2,true,false,false,true,98b4ce212803027308e1813fe8f2dbcaeacd563bf32105f317302f38986074bd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a2590be5d41d3124e31ed0d8fa720fe6aa308830bf98b16c83a2120318ccaf66,5ccd6992334857229decc64454106d2b9b131083e2925857e9dc22c81ca79c4d,true,true,true,true
2,5700000,0,reciprocal_c1_d1_t2,reference,dies,0,0,1,0,1|0,1,2,0,2,1,1/1000000/1;1/1000000/1,true,false,false,true,40a38ee47120a74b367de7b54b99cc6aee03670588e3549407eaa5a588c83f34,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,893fde4229639d9f3ed093ffe47e502e090f46551176449a182bf85ac837c9d7,62fb1a330bc1f8fbf742362b6b48cdff367c445755688904440f23eb83e57fc9,true,true,true,true
2,5700000,0,reciprocal_c1_d1_t2,production,dies,0,0,1,0,1|0,1,2,0,2,1,1/1000000/1;1/1000000/1,true,false,false,true,40a38ee47120a74b367de7b54b99cc6aee03670588e3549407eaa5a588c83f34,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,893fde4229639d9f3ed093ffe47e502e090f46551176449a182bf85ac837c9d7,0f184cb9f49f224f384c8af373a8253ae5ca5d132be5af62590064956fb45a42,true,true,true,true
3,5700000,0,reciprocal_c1_d1_t1,reference,periodic,2,2,256,32,144|144,287,256,32,288,287,1/999972/1;1/999972/1,false,true,true,true,daaea32cb44d5a798787610a1e338a73af5d2ea0660df3003407f99e691194fc,f74261c332da30c69fb5259e1337f7ba313c20ed7943d7c320a79739cfc63424,0d54d95e74ddd331d78f960a5fa142b081e9602f7ebcb350e56b62c14a73e2bc,3f9d7361d1a2dac9fbac3475570cd7cc79b1dbb29db649e657ebc4d8de974176,true,true,true,true
3,5700000,0,reciprocal_c1_d1_t1,production,periodic,2,2,256,32,144|144,287,256,32,288,287,1/999972/1;1/999972/1,false,true,true,true,daaea32cb44d5a798787610a1e338a73af5d2ea0660df3003407f99e691194fc,f74261c332da30c69fb5259e1337f7ba313c20ed7943d7c320a79739cfc63424,0d54d95e74ddd331d78f960a5fa142b081e9602f7ebcb350e56b62c14a73e2bc,4fd3820973a3a4f5cf8a37df3f7fefc8b00543d596eb5add776177456d42ec4a,true,true,true,true
4,5700000,0,reciprocal_c2_d0_t2,reference,dies,0,0,2,0,1|1,2,3,0,3,0,1/1000000/2;1/1000000/2,true,false,false,true,dbdb554e0d4b20e3a462c2fba71a879b29f15a68efc023ad0861dcdffc153c86,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,067b7897453a840897bb9eb6a6768563891f5efea50ee192db90b8423dd7b11d,7102ef7e376d0488b26638f891aca1a02d7e38b381f5739934d8e923ce5d22b5,true,true,true,true
4,5700000,0,reciprocal_c2_d0_t2,production,dies,0,0,2,0,1|1,2,3,0,3,0,1/1000000/2;1/1000000/2,true,false,false,true,dbdb554e0d4b20e3a462c2fba71a879b29f15a68efc023ad0861dcdffc153c86,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,067b7897453a840897bb9eb6a6768563891f5efea50ee192db90b8423dd7b11d,7102ef7e376d0488b26638f891aca1a02d7e38b381f5739934d8e923ce5d22b5,true,true,true,true
5,5700000,0,reciprocal_c2_d0_t2_alternating_phase,reference,dies,0,0,2,0,1|1,2,3,0,3,0,1/1000000/2;1/1000000/2,true,false,false,true,907d6662377bd6a5919cad4b7f466430e84b45aff40f38cd8db5310bfb33e237,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cbd7b1c027498cfdd3657e5d2e2a9b4e01f7d82d21c319bad9c57a7225e041be,885318169c95f4a399cc38891ae50a893306056599f13633077faa0323bebc6d,true,true,true,true
5,5700000,0,reciprocal_c2_d0_t2_alternating_phase,production,dies,0,0,2,0,1|1,2,3,0,3,0,1/1000000/2;1/1000000/2,true,false,false,true,907d6662377bd6a5919cad4b7f466430e84b45aff40f38cd8db5310bfb33e237,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cbd7b1c027498cfdd3657e5d2e2a9b4e01f7d82d21c319bad9c57a7225e041be,885318169c95f4a399cc38891ae50a893306056599f13633077faa0323bebc6d,true,true,true,true
