record,experience_or_depth,entries_or_cases,generated,scored,expanded,complete_candidates,model_applications,heuristic_evaluations,model_work,heuristic_work,total_work
training,0,0,,,80102,,80112,,,,2699656
training,32,14,,,75454,,75528,,,,2545072
training,128,32,,,66398,,66504,,,,2241136
training,512,58,,,40158,,40272,,,,1357960
training,2048,81,,,40158,,40272,,,,1357960
training,8192,90,,,40158,,40272,,,,1357960
training,32768,92,,,40158,,40272,,,,1357960
training,65536,92,,,40158,,40272,,,,1357960
learned_depth,1,8,32,32,22,14,24,32,312,576,944
exhaustive_depth,1,8,32,,22,14,24,,312,,368
learned_depth,2,8,88,88,62,38,72,88,936,1584,2672
exhaustive_depth,2,8,112,,94,62,96,,1248,,1496
learned_depth,3,8,216,216,174,110,192,216,2496,3888,6824
exhaustive_depth,3,8,336,,310,206,312,,4056,,4880
learned_depth,4,8,560,560,502,326,528,560,6864,10080,18248
exhaustive_depth,4,8,992,,958,638,960,,12480,,15032
learned_depth,8,8,39520,39520,39398,26246,39456,39520,512928,711360,1329272
exhaustive_depth,8,8,78784,,78718,52478,78720,,1023360,,1233272
