row_type,protocol,ordinal,schedule,allocation,target,family,condition,target_total,competitor_total,expected_first,observed_first,expected_tick,observed_tick,replay_exact,immediate_inhibition,added_order_exact,late_visible,single_effect_exact,disabled_path_absent,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status
case,ssa0-3-precommit-support-definitive-v1,0,quartz_29,spiral_29,0,timing,baseline,4,4,1,1,29,29,true,true,true,true,true,true,d90d3f5faca125e6,f4953fe730b872dd,3fddc9d6c55bd857,5381f4accfbbcbae,387,PASS
case,ssa0-3-precommit-support-definitive-v1,1,quartz_29,spiral_29,0,timing,well_before,5,4,0,0,25,25,true,true,true,true,true,true,27028b1343deba9c,e7237aceaadfb6cb,7b19ef919c6e752f,d5f22159048f5169,462,PASS
case,ssa0-3-precommit-support-definitive-v1,2,quartz_29,spiral_29,0,timing,just_before,5,4,0,0,28,28,true,true,true,true,true,true,44cd2cf52ed8cd7e,09b08c080089e659,bc8dda04641392d8,8d3f551029a0928b,460,PASS
case,ssa0-3-precommit-support-definitive-v1,3,quartz_29,spiral_29,0,timing,closure_before,5,4,0,0,29,29,true,true,true,true,true,true,1116b6aa766458be,e447e83858e55015,e9ea51049b918bb7,b9f0c7bcc795191b,461,PASS
case,ssa0-3-precommit-support-definitive-v1,4,quartz_29,spiral_29,0,timing,closure_after,5,4,1,1,29,29,true,true,true,true,true,true,f23925c33973f006,67def82817b02a71,24c4670870f7dd8a,9573e1ebfeb37077,461,PASS
case,ssa0-3-precommit-support-definitive-v1,5,quartz_29,spiral_29,0,timing,just_after,5,4,1,1,29,29,true,true,true,true,true,true,301ab21c22758384,20013bf5fc5541f3,59eeac14d15b2f47,17ea4ee978dafdd1,460,PASS
case,ssa0-3-precommit-support-definitive-v1,6,quartz_29,spiral_29,0,timing,well_after,5,4,1,1,29,29,true,true,true,true,true,true,5cbed07a511aee5e,0420f54a602b5e39,cf035363e947b32e,5d1938b15cc8cfdf,460,PASS
case,ssa0-3-precommit-support-definitive-v1,7,quartz_29,spiral_29,0,number,one_early,5,4,0,0,27,27,true,true,true,true,true,true,b2b2dbd7fa98f545,2fc535519df74986,ccaa1a3f72d70973,0657a11f8ae83820,460,PASS
case,ssa0-3-precommit-support-definitive-v1,8,quartz_29,spiral_29,0,number,one_late,5,4,1,1,29,29,true,true,true,true,true,true,c8af60880853410e,20c9c35ac78fcaa9,4e44ac5772fb3ee6,a332df07010ecdbb,460,PASS
case,ssa0-3-precommit-support-definitive-v1,9,quartz_29,spiral_29,0,number,two_early,6,4,0,0,24,24,true,true,true,true,true,true,0ba02bd0821c479f,e5b421a9e1e3092a,f2ab84dc72917bdf,b97004600310fc93,541,PASS
case,ssa0-3-precommit-support-definitive-v1,10,quartz_29,spiral_29,0,number,two_late,6,4,1,1,29,29,true,true,true,true,true,true,4c93321f00ef1ea2,bf9a138ecb4a044f,ed35767072089206,cf9d063cc6461dd6,539,PASS
case,ssa0-3-precommit-support-definitive-v1,11,quartz_29,spiral_29,0,impulse,unit_early,5,4,0,0,26,26,true,true,true,true,true,true,8a71a0ee264379b0,155206aa29d770df,fa03b192a62a78f7,c8d387637846ef89,460,PASS
case,ssa0-3-precommit-support-definitive-v1,12,quartz_29,spiral_29,0,impulse,unit_late,5,4,1,1,29,29,true,true,true,true,true,true,d66f21965adeb3e6,1fca2fc2468c98dd,0b7ac9cc21dc42f0,9e26a244df48443f,460,PASS
case,ssa0-3-precommit-support-definitive-v1,13,quartz_29,spiral_29,0,impulse,double_early,5,4,0,0,26,26,true,true,true,true,true,true,b829a72d45d70bc1,7d521e4dfb380fbe,0fd2e037641a9bb8,088d775d9dc2b011,460,PASS
case,ssa0-3-precommit-support-definitive-v1,14,quartz_29,spiral_29,0,impulse,double_late,5,4,1,1,29,29,true,true,true,true,true,true,83335f27449b3a2b,cf982839eaf4a058,21fbd51ed525f59b,55c1dfafe60760c7,460,PASS
