row_type,protocol,stage,claim_eligible,M6_authoritative,M7_exists,family,condition,variant,target,target_supporters,competitor_supporters,winner,expected_winner,commitment_tick,duplicate_exact,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status,classification
summary,ssa0-3-precommit-support-v1,GATE,false,true,false,,,,,,,,,,,,,,,,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE,ORDERED_PASS
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_before,canonical,0,5,4,0,0,6,true,a3edaba0898956c9,ded0b538ca11fa77,f20054d4512bb7e4,c0ec5c700569f3eb,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_before,canonical,0,5,4,0,0,6,true,63956725d7891cc8,1c1d1bcaeafe917e,47feed97b7ed040a,53c28ff33608fb8e,463,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_before,canonical,0,5,4,0,0,7,true,f7e6135cd43fd2e3,0b03af45fbcdbf15,674b8b6fe54d1b06,95edb2ae83826589,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_after,canonical,0,5,4,1,1,7,true,d97ac383e4c992a0,9bfaa47df441462e,7d6b1a45c969d65c,ab1dbf3fa8634c2a,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_after,canonical,0,5,4,1,1,7,true,fe9ef56eb01c954f,0eb1652cf31b5149,5deb3d9459421bf0,3c95260298b20f0d,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_after,canonical,0,5,4,1,1,7,true,c7cb27ebc1eb57c4,f8d6592276238f4a,a9a53deb162088a8,47cac198d4777035,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,zero,canonical,0,4,4,1,1,7,true,580ab62a98fc7f05,5ddca013a7d3c25f,824629112eb2a6c1,7afee0569c4ff88e,387,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_early,canonical,0,5,4,0,0,6,true,f148531a50ea7555,b49708c3e65d90fb,dfd16e67dbebeb88,accf6946b90ca697,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_early,canonical,0,6,4,0,0,6,true,c3033d889680dfa4,edc7e2e5e4ece46e,b62b94d42c4e84fc,4e79e5a05af8de4d,545,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_late,canonical,0,5,4,1,1,7,true,09be96cd74d42301,4005c348de459fef,4acbdda1ac856012,6d76fa5b1a2400e9,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_late,canonical,0,6,4,1,1,7,true,c686eb0b1ac62898,96e4e629f86ee12a,88e215085f32f1b2,abf3689cf0e91bfe,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_early,canonical,0,5,4,0,0,6,true,f148531a50ea7555,b49708c3e65d90fb,dfd16e67dbebeb88,accf6946b90ca697,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_early,canonical,0,5,4,0,0,6,true,8aa285d1e3498920,da2b45ad480d62e6,6080ce9bb47a5b73,7954e9e208a6c543,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_late,canonical,0,5,4,1,1,7,true,09be96cd74d42301,4005c348de459fef,4acbdda1ac856012,6d76fa5b1a2400e9,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_late,canonical,0,5,4,1,1,7,true,e6cdb9401910253c,61d6393c83f87bfa,422262a1a79d6167,edf19107d32cc80d,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_early,canonical,0,6,4,0,0,6,true,3ee12e09de195043,721a6dda7b827c71,13d845d0249901a0,4505e13e65c591e2,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_early,canonical,0,6,4,0,0,6,true,c3033d889680dfa4,edc7e2e5e4ece46e,b62b94d42c4e84fc,4e79e5a05af8de4d,545,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_early,canonical,0,6,4,0,0,6,true,a284ad6aab87ebe7,05f76af03721ed95,3b816f097c683034,83511cc813eb7ef6,546,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_late,canonical,0,6,4,1,1,7,true,cb60a5f53cb39b4c,02ff8c8a6659b796,db36be71fa7e5e16,a0620fd1a9b0e1d7,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_late,canonical,0,6,4,1,1,7,true,c686eb0b1ac62898,96e4e629f86ee12a,88e215085f32f1b2,abf3689cf0e91bfe,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_late,canonical,0,6,4,1,1,7,true,414d97193c4fdd85,d25683f52965365f,1ee274657b8fea30,3e0b5476b3702b93,540,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_before,canonical,1,5,4,1,1,6,true,e932dcf869a0f718,576b9a5c74fb93f8,e1f0f24a5a1551d6,21bce2967b49e92c,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_before,canonical,1,5,4,1,1,6,true,1655a56d05d19101,23eb60c6f8cd64a9,f075308e1c244dd6,646a4dae9e09be19,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
