row_type,protocol,mode,claim_eligible,M6_authoritative,M7_exists,classification,name,support_a,support_b,trials,realized_a,realized_b,none,permuted_physics,first,mirrored,passed,start_fingerprint,trace_fingerprint,end_fingerprint,work
summary,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,C_TESTED_SUBSTRATE_UNSUPPORTED,SSA0-SSA0.2,,,,,,,,,,false,4a7de7a500da0f48,c23c488a7993c6f3,6b8043d1e2447a3d,718
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,equal,6,6,15,9,6,0,false,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,slight_A,7,6,15,9,6,0,false,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,moderate_A,8,6,15,12,3,0,false,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,large_A,10,4,15,15,0,0,false,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,slight_B,6,7,15,6,9,0,true,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,moderate_B,6,8,15,3,12,0,true,,,true,,,,
support,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,large_B,4,10,15,0,15,0,true,,,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,path_length,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,distance,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,spike_timing,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,arrival_order,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,supporting_spike_count,,,,,,,,0,0,false,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,recent_local_activation,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,competing_local_activity,,,,,,,,1,0,true,,,,
factor,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,stored_support,,,,,,,,1,0,true,,,,
crossed,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,A_stronger_B_earlier,,,,,,,,,,true,,,,
crossed,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,B_stronger_A_earlier,,,,,,,,,,true,,,,
crossed,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,equal_support_path_timing,,,,,,,,,,true,,,,
crossed,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,equal_timing_stored_support,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,no_second_route,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,aliases_one_route,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,same_effect_unchanged,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,fresh_identities,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,route_permutation,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,allocation_layout,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,stale_blocked,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,duplicate_exact,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,independent_executable,,,,,,,,,,true,,,,
control,ssa0-spatiotemporal-affordance-v1,MICRO,false,true,false,,source_audit,,,,,,,,,,true,,,,
