stage,seed,productive_route,arm,initial_exposures,before_live_0,before_live_1,after_live_0,after_live_1,realized_0,realized_1,recovered,persisted,controls
GATE,1630000000,0,P0,,4,1,4,1,1024,0,false,false,true
GATE,1630000000,0,C1,,4,1,4,1,0,1024,false,false,true
GATE,1630000000,0,C2,0,0,0,1,4,34,990,true,false,true
GATE,1630000000,0,C2,1,4,4,1,4,37,987,true,false,true
GATE,1630000000,0,C2,2,4,4,1,4,41,983,true,false,true
GATE,1630000000,0,C2,3,4,4,1,4,44,980,true,false,true
GATE,1630000000,0,C2,4,4,4,1,4,88,936,true,false,true
GATE,1630000000,0,C2,8,4,4,1,4,202,822,true,false,true
GATE,1630000000,0,C2,16,4,4,4,1,1014,10,false,false,true
GATE,1630000000,0,C2,32,4,4,4,1,1022,2,false,false,true
GATE,1630000000,0,C2,64,4,1,4,1,1024,0,false,false,true
GATE,1630000000,0,C2,192,4,1,4,1,1024,0,false,false,true
GATE,1630000000,0,C3,,4,1,4,1,0,1024,false,false,true
GATE,1640000001,1,P0,,1,4,1,4,0,1024,false,false,true
GATE,1640000001,1,C1,,1,4,1,4,1024,0,false,false,true
GATE,1640000001,1,C2,0,0,0,4,1,990,34,true,false,true
GATE,1640000001,1,C2,1,4,4,4,1,987,37,true,false,true
GATE,1640000001,1,C2,2,4,4,4,1,983,41,true,false,true
GATE,1640000001,1,C2,3,4,4,4,1,980,44,true,false,true
GATE,1640000001,1,C2,4,4,4,4,1,936,88,true,false,true
GATE,1640000001,1,C2,8,4,4,4,1,822,202,true,false,true
GATE,1640000001,1,C2,16,4,4,1,4,10,1014,false,false,true
GATE,1640000001,1,C2,32,4,4,1,4,2,1022,false,false,true
GATE,1640000001,1,C2,64,1,4,1,4,0,1024,false,false,true
GATE,1640000001,1,C2,192,1,4,1,4,0,1024,false,false,true
GATE,1640000001,1,C3,,1,4,1,4,1024,0,false,false,true
GATE,1650000002,0,P0,,4,1,4,1,1024,0,false,false,true
GATE,1650000002,0,C1,,4,1,4,1,0,1024,false,false,true
GATE,1650000002,0,C2,0,0,0,1,4,34,990,true,false,true
GATE,1650000002,0,C2,1,4,4,1,4,37,987,true,false,true
GATE,1650000002,0,C2,2,4,4,1,4,41,983,true,false,true
GATE,1650000002,0,C2,3,4,4,1,4,44,980,true,false,true
GATE,1650000002,0,C2,4,4,4,1,4,88,936,true,false,true
GATE,1650000002,0,C2,8,4,4,1,4,202,822,true,false,true
GATE,1650000002,0,C2,16,4,4,4,1,1014,10,false,false,true
GATE,1650000002,0,C2,32,4,4,4,1,1022,2,false,false,true
GATE,1650000002,0,C2,64,4,1,4,1,1024,0,false,false,true
GATE,1650000002,0,C2,192,4,1,4,1,1024,0,false,false,true
GATE,1650000002,0,C3,,4,1,4,1,0,1024,false,false,true
GATE,1660000003,1,P0,,1,4,1,4,0,1024,false,false,true
GATE,1660000003,1,C1,,1,4,1,4,1024,0,false,false,true
GATE,1660000003,1,C2,0,0,0,4,1,990,34,true,false,true
GATE,1660000003,1,C2,1,4,4,4,1,987,37,true,false,true
GATE,1660000003,1,C2,2,4,4,4,1,983,41,true,false,true
GATE,1660000003,1,C2,3,4,4,4,1,980,44,true,false,true
GATE,1660000003,1,C2,4,4,4,4,1,936,88,true,false,true
GATE,1660000003,1,C2,8,4,4,4,1,822,202,true,false,true
GATE,1660000003,1,C2,16,4,4,1,4,10,1014,false,false,true
GATE,1660000003,1,C2,32,4,4,1,4,2,1022,false,false,true
GATE,1660000003,1,C2,64,1,4,1,4,0,1024,false,false,true
GATE,1660000003,1,C2,192,1,4,1,4,0,1024,false,false,true
GATE,1660000003,1,C3,,1,4,1,4,1024,0,false,false,true
GATE,1670000004,0,P0,,4,1,4,1,1024,0,false,false,true
GATE,1670000004,0,C1,,4,1,4,1,0,1024,false,false,true
GATE,1670000004,0,C2,0,0,0,1,4,34,990,true,false,true
GATE,1670000004,0,C2,1,4,4,1,4,37,987,true,false,true
GATE,1670000004,0,C2,2,4,4,1,4,41,983,true,false,true
GATE,1670000004,0,C2,3,4,4,1,4,44,980,true,false,true
GATE,1670000004,0,C2,4,4,4,1,4,88,936,true,false,true
GATE,1670000004,0,C2,8,4,4,1,4,202,822,true,false,true
GATE,1670000004,0,C2,16,4,4,4,1,1014,10,false,false,true
GATE,1670000004,0,C2,32,4,4,4,1,1022,2,false,false,true
GATE,1670000004,0,C2,64,4,1,4,1,1024,0,false,false,true
GATE,1670000004,0,C2,192,4,1,4,1,1024,0,false,false,true
GATE,1670000004,0,C3,,4,1,4,1,0,1024,false,false,true
GATE,1680000005,1,P0,,1,4,1,4,0,1024,false,false,true
GATE,1680000005,1,C1,,1,4,1,4,1024,0,false,false,true
GATE,1680000005,1,C2,0,0,0,4,1,990,34,true,false,true
GATE,1680000005,1,C2,1,4,4,4,1,987,37,true,false,true
GATE,1680000005,1,C2,2,4,4,4,1,983,41,true,false,true
GATE,1680000005,1,C2,3,4,4,4,1,980,44,true,false,true
GATE,1680000005,1,C2,4,4,4,4,1,936,88,true,false,true
GATE,1680000005,1,C2,8,4,4,4,1,822,202,true,false,true
GATE,1680000005,1,C2,16,4,4,1,4,10,1014,false,false,true
GATE,1680000005,1,C2,32,4,4,1,4,2,1022,false,false,true
GATE,1680000005,1,C2,64,1,4,1,4,0,1024,false,false,true
GATE,1680000005,1,C2,192,1,4,1,4,0,1024,false,false,true
GATE,1680000005,1,C3,,1,4,1,4,1024,0,false,false,true
