stage,seed,productive_route,arm,initial_exposures,before_live_0,before_live_1,after_live_0,after_live_1,realized_0,realized_1,recovered,persisted,controls
PROBE,1600000000,0,P0,,4,1,4,1,1024,0,false,false,true
PROBE,1600000000,0,C1,,4,1,4,1,0,1024,false,false,true
PROBE,1600000000,0,C2,0,0,0,1,4,34,990,true,false,true
PROBE,1600000000,0,C2,1,4,4,1,4,37,987,true,false,true
PROBE,1600000000,0,C2,2,4,4,1,4,41,983,true,false,true
PROBE,1600000000,0,C2,3,4,4,1,4,44,980,true,false,true
PROBE,1600000000,0,C2,4,4,4,1,4,88,936,true,false,true
PROBE,1600000000,0,C2,8,4,4,1,4,202,822,true,false,true
PROBE,1600000000,0,C2,16,4,4,4,1,1014,10,false,false,true
PROBE,1600000000,0,C2,32,4,4,4,1,1022,2,false,false,true
PROBE,1600000000,0,C2,64,4,1,4,1,1024,0,false,false,true
PROBE,1600000000,0,C2,192,4,1,4,1,1024,0,false,false,true
PROBE,1600000000,0,C3,,4,1,4,1,0,1024,false,false,true
