stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
MICRO,1710000000,0,0,E0-B-only,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,execution edge,false
MICRO,1710000000,0,0,E0-B-only,4,0,4,0,4,4,4,0,4,0,4,0,4,false,true,0,1,0,0,0,1,3,1,4,4,none,false
MICRO,1710000000,0,0,E0-B-only,16,0,16,0,16,4,4,0,16,0,16,0,16,false,true,0,13,0,0,0,13,3,13,4,4,none,false
MICRO,1710000000,0,0,E0-B-only,64,0,64,0,64,1,4,0,64,0,64,0,64,false,true,0,61,0,0,0,61,3,61,0,8,none,true
MICRO,1710000000,0,0,E0-B-only,1024,0,1024,0,1024,1,4,0,1024,0,1024,0,1024,false,true,0,1021,0,0,0,1021,3,1021,0,8,none,true
MICRO,1710000000,0,0,E0-B-only,10000,0,10000,0,10000,1,4,0,10000,0,10000,0,10000,false,true,0,9997,0,0,0,9997,3,9997,0,8,none,true
MICRO,1710000000,0,0,E1-paired,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,execution edge,false
MICRO,1710000000,0,0,E1-paired,4,4,4,4,4,4,4,4,4,2,4,0,4,false,true,0,1,1,0,-1,1,6,2,4,4,none,false
MICRO,1710000000,0,0,E1-paired,16,16,16,16,16,4,4,16,16,8,16,0,16,false,true,0,13,13,0,-13,13,6,26,4,4,none,false
MICRO,1710000000,0,0,E1-paired,64,34,94,34,94,1,4,34,94,17,94,0,94,false,true,0,91,31,0,-31,91,6,122,0,8,none,true
MICRO,1710000000,0,0,E1-paired,1024,34,2014,34,2014,1,4,34,2014,17,2014,0,2014,false,true,0,2011,31,0,-31,2011,6,2042,0,8,none,true
MICRO,1710000000,0,0,E1-paired,10000,34,19966,34,19966,1,4,34,19966,17,19966,0,19966,false,true,0,19963,31,0,-31,19963,6,19994,0,8,none,true
MICRO,1710000000,0,2,E0-B-only,0,0,0,0,0,4,4,2,0,2,0,2,0,false,false,0,0,0,0,0,0,2,0,4,4,execution edge,false
MICRO,1710000000,0,2,E0-B-only,4,0,4,0,4,4,4,2,4,2,4,2,4,false,true,0,1,0,0,0,1,5,1,4,4,none,false
MICRO,1710000000,0,2,E0-B-only,16,0,16,0,16,4,4,2,16,2,16,2,16,false,true,0,13,0,0,0,13,5,13,4,4,none,false
MICRO,1710000000,0,2,E0-B-only,64,0,64,0,64,1,4,2,64,2,64,2,64,false,true,0,61,0,0,0,61,5,61,0,8,none,true
MICRO,1710000000,0,2,E0-B-only,1024,0,1024,0,1024,1,4,2,1024,2,1024,2,1024,false,true,0,1021,0,0,0,1021,5,1021,0,8,none,true
MICRO,1710000000,0,2,E0-B-only,10000,0,10000,0,10000,1,4,2,10000,2,10000,2,10000,false,true,0,9997,0,0,0,9997,5,9997,0,8,none,true
MICRO,1710000000,0,2,E1-paired,0,0,0,0,0,4,4,2,0,2,0,2,0,false,false,0,0,0,0,0,0,2,0,4,4,execution edge,false
MICRO,1710000000,0,2,E1-paired,4,4,4,4,4,4,4,6,4,2,4,0,4,false,true,0,1,1,0,-1,1,8,2,4,4,none,false
MICRO,1710000000,0,2,E1-paired,16,16,16,16,16,4,4,18,16,8,16,0,16,false,true,0,13,13,0,-13,13,8,26,4,4,none,false
MICRO,1710000000,0,2,E1-paired,64,41,87,41,87,1,4,43,87,21,87,1,87,false,true,0,84,38,0,-38,84,8,122,0,8,none,true
MICRO,1710000000,0,2,E1-paired,1024,41,2007,41,2007,1,4,43,2007,21,2007,1,2007,false,true,0,2004,38,0,-38,2004,8,2042,0,8,none,true
MICRO,1710000000,0,2,E1-paired,10000,41,19959,41,19959,1,4,43,19959,21,19959,1,19959,false,true,0,19956,38,0,-38,19956,8,19994,0,8,none,true
MICRO,1710000000,0,4,E0-B-only,0,0,0,0,0,4,4,4,0,4,0,4,0,true,false,1,0,0,0,1,0,3,1,4,4,execution edge,false
MICRO,1710000000,0,4,E0-B-only,4,0,4,0,4,4,4,4,4,4,4,4,4,true,true,1,0,0,3,1,-3,4,4,4,4,credit edge,false
MICRO,1710000000,0,4,E0-B-only,16,0,16,0,16,4,4,4,16,4,16,4,16,true,true,0,0,0,3,0,-3,16,4,4,4,credit edge,false
MICRO,1710000000,0,4,E0-B-only,64,0,64,0,64,4,4,4,64,4,64,4,64,true,true,0,0,0,0,0,0,64,4,4,4,credit edge,false
MICRO,1710000000,0,4,E0-B-only,1024,0,1024,0,1024,4,4,4,1024,4,1024,4,1024,true,true,0,0,0,0,0,0,1024,4,4,4,credit edge,false
MICRO,1710000000,0,4,E0-B-only,10000,0,10000,0,10000,4,4,4,10000,4,10000,4,10000,true,true,0,0,0,0,0,0,10000,4,4,4,credit edge,false
MICRO,1710000000,0,4,E1-paired,0,0,0,0,0,4,4,4,0,4,0,4,0,true,false,1,0,0,0,1,0,3,1,4,4,execution edge,false
MICRO,1710000000,0,4,E1-paired,4,4,4,4,4,4,4,8,4,4,4,2,4,true,true,4,0,0,3,4,-3,5,7,4,4,credit edge,false
MICRO,1710000000,0,4,E1-paired,16,16,16,16,16,4,4,20,16,8,16,0,16,false,true,4,11,12,3,-8,8,6,30,4,4,none,false
MICRO,1710000000,0,4,E1-paired,64,64,64,64,64,4,4,68,64,32,64,0,64,false,true,4,59,60,3,-56,56,6,126,4,4,none,false
MICRO,1710000000,0,4,E1-paired,1024,88,1960,88,1960,1,4,92,1960,44,1960,0,1960,false,true,4,1955,84,3,-80,1952,6,2046,0,8,none,true
MICRO,1710000000,0,4,E1-paired,10000,88,19912,88,19912,1,4,92,19912,44,19912,0,19912,false,true,4,19907,84,3,-80,19904,6,19998,0,8,none,true
MICRO,1710000000,0,6,E0-B-only,0,0,0,0,0,4,4,6,0,6,0,6,0,true,false,3,0,0,0,3,0,3,3,4,4,execution edge,false
MICRO,1710000000,0,6,E0-B-only,4,0,4,0,4,4,4,6,4,6,4,6,4,true,true,3,0,0,3,3,-3,4,6,4,4,credit edge,false
MICRO,1710000000,0,6,E0-B-only,16,0,16,0,16,4,4,6,16,6,16,6,16,true,true,3,0,0,3,3,-3,16,6,4,4,credit edge,false
MICRO,1710000000,0,6,E0-B-only,64,0,64,0,64,4,1,6,64,6,64,6,64,true,true,3,0,0,3,3,-3,64,6,8,0,credit edge,false
MICRO,1710000000,0,6,E0-B-only,1024,0,1024,0,1024,4,1,6,1024,6,1024,6,1024,true,true,3,0,0,3,3,-3,1024,6,8,0,credit edge,false
MICRO,1710000000,0,6,E0-B-only,10000,0,10000,0,10000,4,1,6,10000,6,10000,6,10000,true,true,3,0,0,3,3,-3,10000,6,8,0,credit edge,false
MICRO,1710000000,0,6,E1-paired,0,0,0,0,0,4,4,6,0,6,0,6,0,true,false,3,0,0,0,3,0,3,3,4,4,execution edge,false
MICRO,1710000000,0,6,E1-paired,4,4,4,4,4,4,4,10,4,6,4,4,4,true,true,6,0,0,3,6,-3,5,9,4,4,credit edge,false
MICRO,1710000000,0,6,E1-paired,16,16,16,16,16,4,4,22,16,8,16,0,16,false,true,6,7,8,3,-2,4,14,24,4,4,none,false
MICRO,1710000000,0,6,E1-paired,64,64,64,64,64,4,4,70,64,32,64,0,64,false,true,6,55,56,3,-50,52,14,120,4,4,none,false
MICRO,1710000000,0,6,E1-paired,1024,127,1921,127,1921,1,4,133,1921,64,1921,1,1921,false,true,6,1912,119,3,-113,1909,14,2040,0,8,none,true
MICRO,1710000000,0,6,E1-paired,10000,127,19873,127,19873,1,4,133,19873,64,19873,1,19873,false,true,6,19864,119,3,-113,19861,14,19992,0,8,none,true
MICRO,1710000000,0,8,E0-B-only,0,0,0,0,0,4,4,8,0,8,0,8,0,true,false,5,0,0,0,5,0,3,5,4,4,execution edge,false
MICRO,1710000000,0,8,E0-B-only,4,0,4,0,4,4,4,8,4,8,4,8,4,true,true,5,0,0,3,5,-3,4,8,4,4,credit edge,false
MICRO,1710000000,0,8,E0-B-only,16,0,16,0,16,4,4,8,16,8,16,8,16,true,true,5,0,0,3,5,-3,16,8,4,4,credit edge,false
MICRO,1710000000,0,8,E0-B-only,64,0,64,0,64,4,1,8,64,8,64,8,64,true,true,5,0,0,3,5,-3,64,8,8,0,credit edge,false
MICRO,1710000000,0,8,E0-B-only,1024,0,1024,0,1024,4,1,8,1024,8,1024,8,1024,true,true,5,0,0,3,5,-3,1024,8,8,0,credit edge,false
MICRO,1710000000,0,8,E0-B-only,10000,0,10000,0,10000,4,1,8,10000,8,10000,8,10000,true,true,5,0,0,3,5,-3,10000,8,8,0,credit edge,false
MICRO,1710000000,0,8,E1-paired,0,0,0,0,0,4,4,8,0,8,0,8,0,true,false,5,0,0,0,5,0,3,5,4,4,execution edge,false
MICRO,1710000000,0,8,E1-paired,4,4,4,4,4,4,4,12,4,8,4,6,4,true,true,8,0,0,3,8,-3,5,11,4,4,credit edge,false
MICRO,1710000000,0,8,E1-paired,16,16,16,16,16,4,1,24,16,8,16,0,16,false,true,8,3,4,3,4,0,22,18,8,0,formation edge,false
MICRO,1710000000,0,8,E1-paired,64,64,64,64,64,4,4,72,64,32,64,0,64,false,true,8,51,52,3,-44,48,22,114,4,4,none,false
MICRO,1710000000,0,8,E1-paired,1024,178,1870,178,1870,1,4,186,1870,89,1870,0,1870,false,true,8,1857,166,3,-158,1854,22,2034,0,8,none,true
MICRO,1710000000,0,8,E1-paired,10000,178,19822,178,19822,1,4,186,19822,89,19822,0,19822,false,true,8,19809,166,3,-158,19806,22,19986,0,8,none,true
MICRO,1710000000,0,10,E0-B-only,0,0,0,0,0,4,4,10,0,10,0,10,0,true,false,7,0,0,0,7,0,3,7,4,4,execution edge,false
MICRO,1710000000,0,10,E0-B-only,4,0,4,0,4,4,4,10,4,10,4,10,4,true,true,7,0,0,3,7,-3,4,10,4,4,credit edge,false
MICRO,1710000000,0,10,E0-B-only,16,0,16,0,16,4,4,10,16,10,16,10,16,true,true,7,0,0,3,7,-3,16,10,4,4,credit edge,false
MICRO,1710000000,0,10,E0-B-only,64,0,64,0,64,4,1,10,64,10,64,10,64,true,true,7,0,0,3,7,-3,64,10,8,0,credit edge,false
MICRO,1710000000,0,10,E0-B-only,1024,0,1024,0,1024,4,1,10,1024,10,1024,10,1024,true,true,7,0,0,3,7,-3,1024,10,8,0,credit edge,false
MICRO,1710000000,0,10,E0-B-only,10000,0,10000,0,10000,4,1,10,10000,10,10000,10,10000,true,true,7,0,0,3,7,-3,10000,10,8,0,credit edge,false
MICRO,1710000000,0,10,E1-paired,0,0,0,0,0,4,4,10,0,10,0,10,0,true,false,7,0,0,0,7,0,3,7,4,4,execution edge,false
MICRO,1710000000,0,10,E1-paired,4,4,4,4,4,4,4,14,4,10,4,8,4,true,true,10,0,0,3,10,-3,5,13,4,4,credit edge,false
MICRO,1710000000,0,10,E1-paired,16,16,16,16,16,4,1,26,16,10,16,2,16,true,true,10,0,0,3,10,-3,29,13,8,0,credit edge,false
MICRO,1710000000,0,10,E1-paired,64,64,64,64,64,4,4,74,64,32,64,0,64,false,true,10,47,48,3,-38,44,30,108,4,4,none,false
MICRO,1710000000,0,10,E1-paired,1024,233,1815,233,1815,1,4,243,1815,117,1815,1,1815,false,true,10,1798,217,3,-207,1795,30,2028,0,8,none,true
MICRO,1710000000,0,10,E1-paired,10000,233,19767,233,19767,1,4,243,19767,117,19767,1,19767,false,true,10,19750,217,3,-207,19747,30,19980,0,8,none,true
MICRO,1710000000,0,12,E0-B-only,0,0,0,0,0,4,4,12,0,12,0,12,0,true,false,9,0,0,0,9,0,3,9,4,4,execution edge,false
MICRO,1710000000,0,12,E0-B-only,4,0,4,0,4,4,4,12,4,12,4,12,4,true,true,9,0,0,3,9,-3,4,12,4,4,credit edge,false
