stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
PROBE,1700000000,0,0,E0-B-only,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,execution edge,false
PROBE,1700000000,0,0,E0-B-only,4,0,4,0,4,4,4,0,4,0,4,0,4,false,true,0,1,0,0,0,1,3,1,4,4,none,true
PROBE,1700000000,0,0,E0-B-only,16,0,16,0,16,4,4,0,16,0,16,0,16,false,true,0,13,0,0,0,13,3,13,4,4,none,true
PROBE,1700000000,0,0,E0-B-only,64,0,64,0,64,1,4,0,64,0,64,0,64,false,true,0,61,0,0,0,61,3,61,0,8,none,true
PROBE,1700000000,0,0,E0-B-only,1024,0,1024,0,1024,1,4,0,1024,0,1024,0,1024,false,true,0,1021,0,0,0,1021,3,1021,0,8,none,true
PROBE,1700000000,0,0,E0-B-only,10000,0,10000,0,10000,1,4,0,10000,0,10000,0,10000,false,true,0,9997,0,0,0,9997,3,9997,0,8,none,true
PROBE,1700000000,0,0,E1-paired,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,execution edge,false
PROBE,1700000000,0,0,E1-paired,4,4,4,4,4,4,4,4,4,2,4,0,4,false,true,0,1,1,0,-1,1,6,2,4,4,none,true
PROBE,1700000000,0,0,E1-paired,16,16,16,16,16,4,4,16,16,8,16,0,16,false,true,0,13,13,0,-13,13,6,26,4,4,none,true
PROBE,1700000000,0,0,E1-paired,64,34,94,34,94,1,4,34,94,17,94,0,94,false,true,0,91,31,0,-31,91,6,122,0,8,none,true
PROBE,1700000000,0,0,E1-paired,1024,34,2014,34,2014,1,4,34,2014,17,2014,0,2014,false,true,0,2011,31,0,-31,2011,6,2042,0,8,none,true
PROBE,1700000000,0,0,E1-paired,10000,34,19966,34,19966,1,4,34,19966,17,19966,0,19966,false,true,0,19963,31,0,-31,19963,6,19994,0,8,none,true
PROBE,1700000000,0,8,E0-B-only,0,0,0,0,0,4,4,8,0,8,0,8,0,true,false,5,0,0,0,5,0,3,5,4,4,execution edge,true
PROBE,1700000000,0,8,E0-B-only,4,0,4,0,4,4,4,8,4,8,4,8,4,true,true,5,0,0,3,5,-3,4,8,4,4,credit edge,true
PROBE,1700000000,0,8,E0-B-only,16,0,16,0,16,4,4,8,16,8,16,8,16,true,true,5,0,0,3,5,-3,16,8,4,4,credit edge,true
PROBE,1700000000,0,8,E0-B-only,64,0,64,0,64,4,1,8,64,8,64,8,64,true,true,5,0,0,3,5,-3,64,8,8,0,credit edge,false
PROBE,1700000000,0,8,E0-B-only,1024,0,1024,0,1024,4,1,8,1024,8,1024,8,1024,true,true,5,0,0,3,5,-3,1024,8,8,0,credit edge,false
PROBE,1700000000,0,8,E0-B-only,10000,0,10000,0,10000,4,1,8,10000,8,10000,8,10000,true,true,5,0,0,3,5,-3,10000,8,8,0,credit edge,false
PROBE,1700000000,0,8,E1-paired,0,0,0,0,0,4,4,8,0,8,0,8,0,true,false,5,0,0,0,5,0,3,5,4,4,execution edge,true
PROBE,1700000000,0,8,E1-paired,4,4,4,4,4,4,4,12,4,8,4,6,4,true,true,8,0,0,3,8,-3,5,11,4,4,credit edge,true
PROBE,1700000000,0,8,E1-paired,16,16,16,16,16,4,1,24,16,8,16,0,16,false,true,8,3,4,3,4,0,22,18,8,0,formation edge,false
PROBE,1700000000,0,8,E1-paired,64,64,64,64,64,4,4,72,64,32,64,0,64,false,true,8,51,52,3,-44,48,22,114,4,4,none,true
PROBE,1700000000,0,8,E1-paired,1024,178,1870,178,1870,1,4,186,1870,89,1870,0,1870,false,true,8,1857,166,3,-158,1854,22,2034,0,8,none,true
PROBE,1700000000,0,8,E1-paired,10000,178,19822,178,19822,1,4,186,19822,89,19822,0,19822,false,true,8,19809,166,3,-158,19806,22,19986,0,8,none,true
PROBE,1700000000,0,16,E0-B-only,0,0,0,0,0,4,4,16,0,16,0,16,0,true,false,13,0,0,0,13,0,3,13,4,4,execution edge,true
PROBE,1700000000,0,16,E0-B-only,4,0,4,0,4,4,4,16,4,16,4,16,4,true,true,13,0,0,3,13,-3,4,16,4,4,credit edge,true
PROBE,1700000000,0,16,E0-B-only,16,0,16,0,16,4,4,16,16,16,16,16,16,true,true,13,0,0,3,13,-3,16,16,4,4,credit edge,true
PROBE,1700000000,0,16,E0-B-only,64,0,64,0,64,4,1,16,64,16,64,16,64,true,true,13,0,0,3,13,-3,64,16,8,0,credit edge,false
PROBE,1700000000,0,16,E0-B-only,1024,0,1024,0,1024,4,1,16,1024,16,1024,16,1024,true,true,13,0,0,3,13,-3,1024,16,8,0,credit edge,false
PROBE,1700000000,0,16,E0-B-only,10000,0,10000,0,10000,4,1,16,10000,16,10000,16,10000,true,true,13,0,0,3,13,-3,10000,16,8,0,credit edge,false
PROBE,1700000000,0,16,E1-paired,0,0,0,0,0,4,4,16,0,16,0,16,0,true,false,13,0,0,0,13,0,3,13,4,4,execution edge,true
