stage,seed,world,dwell,phase,stable_side,exec_side0,exec_side1,consequence_side0,consequence_side1,live_route0,live_route1,independent_side0,independent_side1,m6_obs_route0,m6_obs_route1,m6_margin_route0,m6_margin_route1,m6_eligible_route0,m6_eligible_route1,m5_score_route0,m5_score_route1,abstentions,applications,field_balanced,dominance_correct
PROBE,1800000000,R2-rich-changing,4096,0,Some(0),3569,527,3569,527,4,1,4,0,3569,527,3569,5,true,true,784,-127,3185,911,true,true
PROBE,1800000000,R2-rich-changing,4096,1,Some(1),3584,512,3584,512,4,1,4,0,7153,1039,3573,507,true,true,803,-130,7259,933,true,false
PROBE,1800000000,R2-rich-changing,4096,2,Some(0),3584,512,3584,512,4,1,4,0,10737,1551,7157,508,true,true,803,-130,11355,933,true,true
PROBE,1800000000,C0-no-field,4096,0,Some(0),4096,0,4096,0,4,1,4,0,4096,0,4096,0,true,false,4093,0,3,4093,true,true
PROBE,1800000000,C0-no-field,4096,1,Some(1),4096,0,4096,0,4,1,4,0,8192,0,4097,0,true,false,8189,0,3,8189,true,false
PROBE,1800000000,C0-no-field,4096,2,Some(0),4096,0,4096,0,4,1,4,0,12288,0,8193,0,true,false,12285,0,3,12285,true,true
PROBE,1800000000,C1-postclosure-field,4096,0,Some(0),4096,0,4096,0,4,1,4,0,4096,0,4096,0,true,false,4093,0,3,4093,true,true
PROBE,1800000000,C1-postclosure-field,4096,1,Some(1),4096,0,4096,0,4,1,4,0,8192,0,4097,0,true,false,8189,0,3,8189,true,false
PROBE,1800000000,C1-postclosure-field,4096,2,Some(0),4096,0,4096,0,4,1,4,0,12288,0,8193,0,true,false,12285,0,3,12285,true,true
PROBE,1800000000,C2-clock-phase,4096,0,Some(0),3568,528,3568,528,4,1,4,0,3568,528,3568,32,true,true,389,-63,3644,452,false,true
PROBE,1800000000,C2-clock-phase,4096,1,Some(1),3584,512,3584,512,4,1,4,0,7152,1040,3542,474,true,true,410,-66,7716,476,true,false
PROBE,1800000000,C2-clock-phase,4096,2,Some(0),3584,512,3584,512,4,1,4,0,10736,1552,7126,439,true,true,410,-66,11812,476,false,true
PROBE,1800000001,R2-rich-changing,4096,0,Some(0),3541,555,3541,555,1,4,4,0,555,3541,4,3541,true,true,-189,1117,2790,1306,true,true
PROBE,1800000001,R2-rich-changing,4096,1,Some(1),3584,512,3584,512,1,4,4,0,1067,7125,508,3545,true,true,-192,1132,6868,1324,true,false
PROBE,1800000001,R2-rich-changing,4096,2,Some(0),3584,512,3584,512,1,4,4,0,1579,10709,509,7129,true,true,-192,1132,10964,1324,true,true
PROBE,1800000001,C0-no-field,4096,0,Some(0),0,4096,0,4096,4,1,0,4,4096,0,1,0,false,false,1830,0,2266,1830,true,false
PROBE,1800000001,C0-no-field,4096,1,Some(1),0,4096,0,4096,4,1,0,4,8192,0,4095,0,true,false,5924,0,2268,5924,true,true
PROBE,1800000001,C0-no-field,4096,2,Some(0),0,4096,0,4096,4,1,0,4,12288,0,4092,0,true,false,10020,0,2268,10020,true,false
PROBE,1800000001,C1-postclosure-field,4096,0,Some(0),0,4096,0,4096,4,1,0,4,4096,0,1,0,false,false,1830,0,2266,1830,true,false
PROBE,1800000001,C1-postclosure-field,4096,1,Some(1),0,4096,0,4096,4,1,0,4,8192,0,4095,0,true,false,5924,0,2268,5924,true,true
PROBE,1800000001,C1-postclosure-field,4096,2,Some(0),0,4096,0,4096,4,1,0,4,12288,0,4092,0,true,false,10020,0,2268,10020,true,false
PROBE,1800000001,C2-clock-phase,4096,0,Some(0),3522,574,3522,574,1,4,4,0,574,3522,35,3522,true,true,-117,441,3538,558,false,true
PROBE,1800000001,C2-clock-phase,4096,1,Some(1),3584,512,3584,512,1,4,4,0,1086,7106,473,3496,true,true,-120,460,7612,580,true,false
PROBE,1800000001,C2-clock-phase,4096,2,Some(0),3584,512,3584,512,1,4,4,0,1598,10690,438,7080,true,true,-120,460,11708,580,false,true
