stage,seed,stride,offset,ratio,discovery,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,effective_applications,neutral_applications,attribution_failures,first_direction,first_direction_episode,first_4_balance,first_4_episode,first_8_balance,first_8_episode,first_16_balance,first_16_episode,first_opposing_gap,first_opposing_episode,longest_90_direction,ninetieth_application_episode,gap_after_episode_90,alternative_threshold_episode,incumbent_deallocation_episode,first_8_code,final_m5_incumbent,final_m5_alternative,final_live_incumbent,final_live_alternative,final_class,schedule_exact,duplicate_exact,trace_attributed
GATE,2030000000,1,0,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,3,0,0,Some(-1),Some(1),None,None,None,None,None,None,None,None,None,None,-8,None,None,0,5,-3,4,1,INCUMBENT_LOCK,true,true,true
GATE,2030000000,1,1,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,139,0,0,Some(-1),Some(1),Some(-2),Some(8342),Some(2),Some(8361),Some(10),Some(8613),Some(-8),Some(8342),Some(1),Some(16498),-8,Some(8358),None,242,-101,27,4,4,MIXED,true,true,true
GATE,2030000000,1,17,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,265,0,0,Some(-1),Some(1),Some(-2),Some(9406),Some(2),Some(9411),Some(10),Some(9470),Some(-8),Some(9406),Some(1),Some(9558),-8,Some(9410),None,242,-197,57,4,4,MIXED,true,true,true
GATE,2030000000,1,43,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,52,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-16),Some(16),Some(-55),Some(7300),None,None,-55,None,None,0,50,-3,4,1,INCUMBENT_LOCK,true,true,true
GATE,2030000000,7,0,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,6,0,0,Some(-1),Some(1),Some(-2),Some(3197),None,None,None,None,Some(-8),Some(3197),None,None,-8,None,None,0,2,-3,4,1,INCUMBENT_LOCK,true,true,true
GATE,2030000000,7,1,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,1110,0,0,Some(-1),Some(1),Some(-2),Some(1461),Some(2),Some(1539),Some(10),Some(1550),Some(-8),Some(1461),Some(1),Some(2159),-8,Some(1529),Some(12509),242,-738,361,1,4,ALTERNATIVE,true,true,true
GATE,2030000000,7,17,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,5190,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-8),Some(3925),Some(-17),Some(845),Some(1),Some(4013),-17,Some(3946),None,0,-3437,1724,4,4,MIXED,true,true,true
GATE,2030000000,7,43,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,2819,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-4),Some(639),Some(-15),Some(593),Some(1),Some(760),-15,Some(652),Some(5301),0,-1858,936,1,4,ALTERNATIVE,true,true,true
GATE,2030000000,11,0,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,3573,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-2),Some(1551),Some(-14),Some(742),Some(1),Some(2233),-14,Some(1555),Some(12637),0,-2403,1147,1,4,ALTERNATIVE,true,true,true
GATE,2030000000,11,1,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,6147,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-2),Some(1602),Some(-14),Some(1552),Some(1),Some(2421),-14,Some(1611),Some(17941),0,-4091,2033,1,4,ALTERNATIVE,true,true,true
