stage,seed,stride,offset,ratio,discovery,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,effective_applications,neutral_applications,attribution_failures,first_direction,first_direction_episode,first_4_balance,first_4_episode,first_8_balance,first_8_episode,first_16_balance,first_16_episode,first_opposing_gap,first_opposing_episode,longest_90_direction,ninetieth_application_episode,gap_after_episode_90,alternative_threshold_episode,incumbent_deallocation_episode,first_8_code,final_m5_incumbent,final_m5_alternative,final_live_incumbent,final_live_alternative,final_class,schedule_exact,duplicate_exact,trace_attributed
PROBE,2000000000,1,0,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,3,0,0,Some(-1),Some(1),None,None,None,None,None,None,None,None,None,None,-8,None,None,0,5,-3,4,1,INCUMBENT_LOCK,true,true,true
PROBE,2000000000,1,1,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,139,0,0,Some(-1),Some(1),Some(-2),Some(8342),Some(2),Some(8361),Some(10),Some(8613),Some(-8),Some(8342),Some(1),Some(16498),-8,Some(8358),None,242,-101,27,4,4,MIXED,true,true,true
PROBE,2000000000,7,0,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,6,0,0,Some(-1),Some(1),Some(-2),Some(3197),None,None,None,None,Some(-8),Some(3197),None,None,-8,None,None,0,2,-3,4,1,INCUMBENT_LOCK,true,true,true
PROBE,2000000000,7,1,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,1110,0,0,Some(-1),Some(1),Some(-2),Some(1461),Some(2),Some(1539),Some(10),Some(1550),Some(-8),Some(1461),Some(1),Some(2159),-8,Some(1529),Some(12509),242,-738,361,1,4,ALTERNATIVE,true,true,true
PROBE,2000000000,11,0,1:2,true,0,0,1,12000,6000,12000,6000,12000,6000,3573,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-2),Some(1551),Some(-14),Some(742),Some(1),Some(2233),-14,Some(1555),Some(12637),0,-2403,1147,1,4,ALTERNATIVE,true,true,true
PROBE,2000000000,11,1,1:2,false,0,0,1,12000,6000,12000,6000,12000,6000,6147,0,0,Some(-1),Some(1),Some(-4),Some(4),Some(-8),Some(8),Some(-2),Some(1602),Some(-14),Some(1552),Some(1),Some(2421),-14,Some(1611),Some(17941),0,-4091,2033,1,4,ALTERNATIVE,true,true,true
PROBE,2000000000,1,0,1:1,true,0,0,1,9000,9000,9000,9000,9000,9000,764,0,0,Some(-1),Some(1),Some(-2),Some(4380),Some(2),Some(5091),Some(10),Some(6354),Some(-8),Some(4380),Some(1),Some(6767),-8,Some(5089),None,242,-441,312,4,4,MIXED,true,true,true
PROBE,2000000000,1,1,1:1,false,0,0,1,9000,9000,9000,9000,9000,9000,721,0,0,Some(-1),Some(1),Some(-2),Some(4380),Some(2),Some(5627),Some(10),Some(5740),Some(-8),Some(4380),Some(1),Some(6157),-8,Some(5569),None,242,-398,312,4,4,MIXED,true,true,true
PROBE,2000000000,7,0,1:1,false,0,0,1,9000,9000,9000,9000,9000,9000,1708,0,0,Some(-1),Some(1),Some(-2),Some(1398),Some(2),Some(1405),Some(10),Some(1413),Some(-8),Some(1398),Some(1),Some(1624),-8,Some(1408),Some(11333),242,-868,829,1,4,ALTERNATIVE,true,true,true
PROBE,2000000000,7,1,1:1,true,0,0,1,9000,9000,9000,9000,9000,9000,121,0,0,Some(-1),Some(1),Some(-2),Some(1413),Some(2),Some(1429),Some(10),Some(1437),Some(-8),Some(1413),Some(1),Some(11489),-8,Some(1433),Some(11533),242,-61,49,1,4,ALTERNATIVE,true,true,true
PROBE,2000000000,11,0,1:1,true,0,0,1,9000,9000,9000,9000,9000,9000,437,0,0,Some(-1),Some(1),Some(-2),Some(8076),Some(2),Some(8080),Some(10),Some(8096),Some(-8),Some(8076),Some(1),Some(8181),-8,Some(8092),None,242,-207,219,4,4,MIXED,true,true,true
PROBE,2000000000,11,1,1:1,false,0,0,1,9000,9000,9000,9000,9000,9000,980,0,0,Some(-1),Some(1),Some(-2),Some(7411),Some(2),Some(7444),Some(10),Some(7466),Some(-8),Some(7411),Some(1),Some(8041),-8,Some(7436),None,242,-493,476,4,4,MIXED,true,true,true
