stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
MICRO,1910000000,baseline,0,1:8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,1:8,0,90,0,0,1,80,10,80,10,80,10,0,80,10,22,10,2,10,true,true,0,4,33,0,-33,4,4,4,52,38,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,0,1:8,0,900,0,0,1,800,100,800,100,800,100,0,800,100,208,100,7,100,true,true,0,16,107,0,-107,16,1,4,776,124,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:8,0,4500,0,0,1,4000,500,4000,500,4000,500,0,4000,500,1014,500,16,500,true,true,0,76,560,0,-560,76,1,4,3863,637,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:8,0,9000,0,0,1,8000,1000,8000,1000,8000,1000,0,8000,1000,2006,1000,0,1000,false,true,0,167,1217,0,-1217,167,1,4,7615,1385,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:8,0,18000,0,0,1,16000,2000,16000,2000,16000,2000,0,16000,2000,4026,2000,7,2000,true,true,0,322,2362,0,-2362,322,1,4,15315,2685,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,1:4,0,90,0,0,1,72,18,72,18,72,18,0,72,18,22,18,3,18,true,true,2,12,43,0,-41,12,4,4,33,57,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,0,1:4,0,900,0,0,1,720,180,720,180,720,180,0,720,180,184,180,2,180,true,true,2,95,371,0,-369,95,1,4,432,468,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:4,0,4500,0,0,1,3600,900,3600,900,3600,900,0,3600,900,901,900,1,900,false,true,2,355,1351,0,-1349,355,1,4,2792,1708,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:4,0,9000,0,0,1,7200,1800,7200,1800,7200,1800,0,7200,1800,1802,1800,1,1800,false,true,2,703,2686,0,-2684,703,1,4,5609,3391,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:4,0,18000,0,0,1,14400,3600,14400,3600,14400,3600,0,14400,3600,3603,3600,1,3600,false,true,2,1410,5378,0,-5376,1410,1,4,11210,6790,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,1:2,0,90,0,0,1,60,30,60,30,60,30,0,60,30,16,30,0,30,false,true,0,26,50,0,-50,26,4,4,14,76,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,0,1:2,0,900,0,0,1,600,300,600,300,600,300,0,600,300,155,300,3,300,true,true,0,117,230,0,-230,117,1,4,553,347,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:2,0,4500,0,0,1,3000,1500,3000,1500,3000,1500,0,3000,1500,759,1500,11,1500,true,true,0,428,853,0,-853,428,1,4,3219,1281,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:2,0,9000,0,0,1,6000,3000,6000,3000,6000,3000,0,6000,3000,1505,3000,1,3000,false,true,0,842,1682,0,-1682,842,1,4,6476,2524,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:2,0,18000,0,0,1,12000,6000,12000,6000,12000,6000,0,12000,6000,3005,6000,6,6000,true,true,0,1593,3188,0,-3188,1593,1,4,13219,4781,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,1:1,0,90,0,0,1,45,45,45,45,45,45,0,45,45,13,45,2,45,true,true,0,20,19,0,-19,20,1,4,51,39,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:1,0,900,0,0,1,450,450,450,450,450,450,0,450,450,113,450,0,450,false,true,0,320,319,0,-319,320,1,4,261,639,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2250,2250,565,2250,2,2250,true,true,0,1421,1420,0,-1420,1421,1,4,1659,2841,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4500,4500,1130,4500,2,4500,true,true,0,2519,2518,0,-2518,2519,1,4,3963,5037,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,1:1,0,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9000,9000,2260,9000,0,9000,false,true,0,4635,4634,0,-4634,4635,1,4,8731,9269,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,2:1,0,90,0,0,1,30,60,30,60,30,60,0,30,60,10,60,3,60,true,true,0,41,20,0,-20,41,1,4,29,61,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,900,0,0,1,300,600,300,600,300,600,0,300,600,82,600,7,600,true,true,0,141,70,0,-70,141,1,4,689,211,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,4500,0,0,1,1500,3000,1500,3000,1500,3000,0,1500,3000,379,3000,3,3000,true,true,0,779,389,0,-389,779,1,4,3332,1168,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,9000,0,0,1,3000,6000,3000,6000,3000,6000,0,3000,6000,756,6000,7,6000,true,true,0,1647,823,0,-823,1647,1,4,6530,2470,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,18000,0,0,1,6000,12000,6000,12000,6000,12000,0,6000,12000,1503,12000,2,12000,true,true,0,3417,1708,0,-1708,3417,1,4,12875,5125,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
