stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
PROBE,1900000000,baseline,0,1:4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
PROBE,1900000000,baseline,0,1:4,0,90,0,0,1,72,18,72,18,72,18,0,72,18,22,18,3,18,true,true,2,12,43,0,-41,12,4,4,33,57,4,4,MIXED,true,true,true
PROBE,1900000000,baseline,0,1:4,0,900,0,0,1,720,180,720,180,720,180,0,720,180,184,180,2,180,true,true,2,95,371,0,-369,95,1,4,432,468,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:4,0,4500,0,0,1,3600,900,3600,900,3600,900,0,3600,900,901,900,1,900,false,true,2,355,1351,0,-1349,355,1,4,2792,1708,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:4,0,9000,0,0,1,7200,1800,7200,1800,7200,1800,0,7200,1800,1802,1800,1,1800,false,true,2,703,2686,0,-2684,703,1,4,5609,3391,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:4,0,18000,0,0,1,14400,3600,14400,3600,14400,3600,0,14400,3600,3603,3600,1,3600,false,true,2,1410,5378,0,-5376,1410,1,4,11210,6790,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
PROBE,1900000000,baseline,0,1:1,0,90,0,0,1,45,45,45,45,45,45,0,45,45,13,45,2,45,true,true,0,20,19,0,-19,20,1,4,51,39,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:1,0,900,0,0,1,450,450,450,450,450,450,0,450,450,113,450,0,450,false,true,0,320,319,0,-319,320,1,4,261,639,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2250,2250,565,2250,2,2250,true,true,0,1421,1420,0,-1420,1421,1,4,1659,2841,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,baseline,0,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4500,4500,1130,4500,2,4500,true,true,0,2519,2518,0,-2518,2519,1,4,3963,5037,0,4,ALTERNATIVE,true,true,true
