stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
GATE,2220000000,32,0,01320132013201320132013201320132,00000000000000000000000000000000,00000000000000000000000000000000,true,true,true,true,true,1472397318350443975,6118011739474049526,17134172358898860385,3016484253936211529,1106842,64,64,true
GATE,2220000000,32,1,02013202013202013202013202013202,10000010000010000010000010000010,10000010000010000010000010000010,true,true,true,true,true,1472397318350443975,2861404111509379894,3273836846897605624,17689102645919344121,1106854,64,64,true
GATE,2220000000,32,2,01013201013201013201013201013201,01000001000001000001000001000001,01000001000001000001000001000001,true,true,true,true,true,1472397318350443975,12538807788765461174,7775320019678972301,10998347514372517665,1106866,64,64,true
GATE,2220000000,32,3,02320131013202320131013202320131,11000011000011000011000011000011,11000011000011000011000011000011,true,true,true,true,true,1472397318350443975,15959004612007298582,14315203910861564885,9927772398244531401,1106842,64,64,true
GATE,2220000000,32,4,01313201313201313201313201313201,00100000100000100000100000100000,00100000100000100000100000100000,true,true,true,true,true,1472397318350443975,16945851815666339734,11675527270362826294,16998579857286783401,1106836,64,64,true
GATE,2220000000,32,5,02020131313202020131313202020131,10100010100010100010100010100010,10100010100010100010100010100010,true,true,true,true,true,1472397318350443975,17337882675385227318,2269910724505053296,4381686927326272773,1106848,64,64,true
GATE,2220000000,32,6,01020132313201020132313201020132,01100001100001100001100001100001,01100001100001100001100001100001,true,true,true,true,true,1472397318350443975,10656256307026063478,10973499179088600260,5695625897180733149,1106848,64,64,true
GATE,2220000000,32,7,02313202313202313202313202313202,11100011100011100011100011100011,11100011100011100011100011100011,true,true,true,true,true,1472397318350443975,7872974729944974902,10387254282022270839,12722342007149349305,1106824,64,64,true
GATE,2220000000,32,8,01323201323201323201323201323201,00010000010000010000010000010000,00010000010000010000010000010000,true,true,true,true,true,1472397318350443975,16982038854106479366,16122858530278204891,2153614848712228053,1106826,64,64,true
GATE,2220000000,32,9,02010131323202010131323202010131,10010010010010010010010010010010,10010010010010010010010010010010,true,true,true,true,true,1472397318350443975,6079757387478212614,4334570276446802677,904174259508095557,1106850,64,64,true
GATE,2220000000,32,10,01010132323201010132323201010132,01010001010001010001010001010001,01010001010001010001010001010001,true,true,true,true,true,1472397318350443975,8773403486046496262,17301106066415519465,14498444283217967693,1106850,64,64,true
GATE,2220000000,32,11,02323202323202323202323202323202,11010011010011010011010011010011,11010011010011010011010011010011,true,true,true,true,true,1472397318350443975,248205876265518246,16493017700049119094,9414998436758564037,1106814,64,64,true
GATE,2220000000,32,12,01310132023201310132023201310132,00110000110000110000110000110000,00110000110000110000110000110000,true,true,true,true,true,1472397318350443975,5371414666947539510,5394314354968791233,14713079265326160493,1106844,64,64,true
GATE,2220000000,32,13,02023202023202023202023202023202,10110010110010110010110010110010,10110010110010110010110010110010,true,true,true,true,true,1472397318350443975,13857630620876573782,2830324977595309744,3899913781903116297,1106844,64,64,true
GATE,2220000000,32,14,01023201023201023201023201023201,01110001110001110001110001110001,01110001110001110001110001110001,true,true,true,true,true,1472397318350443975,11336860648450029078,2317221221077758985,10392128275072143153,1106856,64,64,true
GATE,2220000000,32,15,02310131023202310131023202310131,11110011110011110011110011110011,11110011110011110011110011110011,true,true,true,true,true,1472397318350443975,14485297728574233686,4918365610410872513,4934015840309305133,1106844,64,64,true
GATE,2220000000,32,16,01320201320201320201320201320201,00001000001000001000001000001000,00001000001000001000001000001000,true,true,true,true,true,1472397318350443975,137495041534649862,15351125919674317046,4233849532296311657,1106856,64,64,true
GATE,2220000000,32,17,02013131320202013131320202013131,10001010001010001010001010001010,10001010001010001010001010001010,true,true,true,true,true,1472397318350443975,8246953081720785206,16779164754196228622,12315535502576411337,1106844,64,64,true
GATE,2220000000,32,18,01013132320201013132320201013132,01001001001001001001001001001001,01001001001001001001001001001001,true,true,true,true,true,1472397318350443975,4438968026725558214,15315047060380894418,7062619316226024289,1106844,64,64,true
GATE,2220000000,32,19,02320202320202320202320202320202,11001011001011001011001011001011,11001011001011001011001011001011,true,true,true,true,true,1472397318350443975,2797631476388595286,10511326193403058475,12329618424817939641,1106844,64,64,true
GATE,2220000000,32,20,01313132020201313132020201313132,00101000101000101000101000101000,00101000101000101000101000101000,true,true,true,true,true,1472397318350443975,17368315827174353190,9999924059094835710,16902341292073373297,1106838,64,64,true
GATE,2220000000,32,21,02020202020202020202020202020202,10101010101010101010101010101010,10101010101010101010101010101010,true,true,true,true,true,1472397318350443975,13625788860336502966,11890465944454973473,13291400868816333869,1106874,64,64,true
GATE,2220000000,32,22,01020201020201020201020201020201,01101001101001101001101001101001,01101001101001101001101001101001,true,true,true,true,true,1472397318350443975,10847647346370170118,14534814050276370668,14449021093513391893,1106886,64,64,true
GATE,2220000000,32,23,02313131020202313131020202313131,11101011101011101011101011101011,11101011101011101011101011101011,true,true,true,true,true,1472397318350443975,1174947970834793654,12516894652649770322,14973783303368318881,1106838,64,64,true
GATE,2220000000,32,24,01323132010201323132010201323132,00011000011000011000011000011000,00011000011000011000011000011000,true,true,true,true,true,1472397318350443975,12373792571211896694,18441635680873363952,3076018394798577533,1106836,64,64,true
GATE,2220000000,32,25,02010202010202010202010202010202,10011010011010011010011010011010,10011010011010011010011010011010,true,true,true,true,true,1472397318350443975,14161939961083984742,15538449248842844511,4729961269753195261,1106884,64,64,true
GATE,2220000000,32,26,01010201010201010201010201010201,01011001011001011001011001011001,01011001011001011001011001011001,true,true,true,true,true,1472397318350443975,9488502301370506134,3059731494133780470,3617079447932246661,1106896,64,64,true
GATE,2220000000,32,27,02323131010202323131010202323131,11011011011011011011011011011011,11011011011011011011011011011011,true,true,true,true,true,1472397318350443975,11934172407105813222,15761003647776752176,16599249236816380909,1106836,64,64,true
GATE,2220000000,32,28,01310201310201310201310201310201,00111000111000111000111000111000,00111000111000111000111000111000,true,true,true,true,true,1472397318350443975,7251075261574819654,5720719895134842305,2374219749325951341,1106866,64,64,true
GATE,2220000000,32,29,02023131310202023131310202023131,10111010111010111010111010111010,10111010111010111010111010111010,true,true,true,true,true,1472397318350443975,4251350680328591510,17378081837437479241,18225400023920299721,1106842,64,64,true
GATE,2220000000,32,30,01023132310201023132310201023132,01111001111001111001111001111001,01111001111001111001111001111001,true,true,true,true,true,1472397318350443975,9874421300199337542,1212732733945914317,14219145420963660945,1106842,64,64,true
GATE,2220000000,32,31,02310202310202310202310202310202,11111011111011111011111011111011,11111011111011111011111011111011,true,true,true,true,true,1472397318350443975,8507339210879431990,6952641211475077288,7445863784310883773,1106854,64,64,true
GATE,2220000000,32,32,01320101320101320101320101320101,00000100000100000100000100000100,00000100000100000100000100000100,true,true,true,true,true,1472397318350443975,15879669049931502462,16239991828193521193,11199208348941215933,1106866,64,64,true
GATE,2220000000,32,33,02013231320102013231320102013231,10000110000110000110000110000110,10000110000110000110000110000110,true,true,true,true,true,1472397318350443975,13303580783631052830,12591005351180553502,14207180003421735205,1106842,64,64,true
GATE,2220000000,32,34,01013232320101013232320101013232,01000101000101000101000101000101,01000101000101000101000101000101,true,true,true,true,true,1472397318350443975,15820226343018597662,17919682146707693278,6106694062938789821,1106842,64,64,true
GATE,2220000000,32,35,02320102320102320102320102320102,11000111000111000111000111000111,11000111000111000111000111000111,true,true,true,true,true,1472397318350443975,12641529504545740318,5383557738192181668,16515329576418047821,1106854,64,64,true
