stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
MICRO,2210000000,16,0,0132013201320132,0000000000000000,0000000000000000,true,true,true,true,true,15821572566936400961,11917464174841234028,2878148072833125482,8728093388386476903,277962,32,32,true
MICRO,2210000000,16,1,0201323201313201,1000010000100001,1000010000100001,true,true,true,true,true,15821572566936400961,12487722725820497864,13045487313182363162,9029929397003827215,277962,32,32,true
MICRO,2210000000,16,2,0101320201323201,0100001000010000,0100001000010000,true,true,true,true,true,15821572566936400961,16009270558298265324,5337636326589759495,6910473591242344403,277968,32,32,true
MICRO,2210000000,16,3,0232010201310132,1100011000110001,1100011000110001,true,true,true,true,true,15821572566936400961,4883578856852827720,15036869119111760279,15502046462637317507,277968,32,32,true
MICRO,2210000000,16,4,0131320101320201,0010000100001000,0010000100001000,true,true,true,true,true,15821572566936400961,12757588549288594656,9675871038153009628,10645622778089203587,277970,32,32,true
MICRO,2210000000,16,5,0202010101313132,1010010100101001,1010010100101001,true,true,true,true,true,15821572566936400961,5894957561602429916,8953801114139437955,8798389209369456931,277970,32,32,true
MICRO,2210000000,16,6,0102013101323132,0110001100011000,0110001100011000,true,true,true,true,true,15821572566936400961,1421228320816573680,5106325007880370209,17013579837616665759,277964,32,32,true
MICRO,2210000000,16,7,0231323101310201,1110011100111001,1110011100111001,true,true,true,true,true,15821572566936400961,5208012126020475148,4471440230458317426,14554717458702150919,277964,32,32,true
MICRO,2210000000,16,8,0132320131320101,0001000010000100,0001000010000100,true,true,true,true,true,15821572566936400961,9417909769419773072,5564817377530641749,4021968689276256683,277964,32,32,true
MICRO,2210000000,16,9,0201010131313232,1001010010100101,1001010010100101,true,true,true,true,true,15821572566936400961,5509616865552151260,10218791438632840757,4970262319262415091,277964,32,32,true
MICRO,2210000000,16,10,0101013131323232,0101001010010100,0101001010010100,true,true,true,true,true,15821572566936400961,18129290338615545904,3740207564851200807,11994447375872260927,277958,32,32,true
MICRO,2210000000,16,11,0232323131310101,1101011010110101,1101011010110101,true,true,true,true,true,15821572566936400961,9462787969027769340,9333466108354428259,6786342228615766719,277958,32,32,true
MICRO,2210000000,16,12,0131013231320232,0011000110001100,0011000110001100,true,true,true,true,true,15821572566936400961,13263248929752397028,870382792472552512,882489827199454239,277956,32,32,true
MICRO,2210000000,16,13,0202323231313101,1011010110101101,1011010110101101,true,true,true,true,true,15821572566936400961,12226321690819947184,4461709804835596603,6817016223862456399,277956,32,32,true
MICRO,2210000000,16,14,0102320231323101,0111001110011100,0111001110011100,true,true,true,true,true,15821572566936400961,7848763342429482036,15105294309570472562,527420281650241171,277962,32,32,true
MICRO,2210000000,16,15,0231010231310232,1111011110111101,1111011110111101,true,true,true,true,true,15821572566936400961,10849646352082930400,17948705132901927913,9469321996754820443,277962,32,32,true
MICRO,2210000000,16,16,0132020132320131,0000100001000010,0000100001000010,true,true,true,true,true,15821572566936400961,2395582382958295424,16761805428469943385,14646645642165599403,277962,32,32,true
MICRO,2210000000,16,17,0201310132313202,1000110001100011,1000110001100011,true,true,true,true,true,15821572566936400961,7140929415350501468,3519037570603645317,13705523562269700939,277962,32,32,true
MICRO,2210000000,16,18,0101313132323202,0100101001010010,0100101001010010,true,true,true,true,true,15821572566936400961,8795252055989186800,14268295656443690395,4319119373354344967,277956,32,32,true
MICRO,2210000000,16,19,0232023132310131,1100111001110011,1100111001110011,true,true,true,true,true,15821572566936400961,9427373175671369068,268792702643941739,17512434557051383327,277956,32,32,true
MICRO,2210000000,16,20,0131313232320202,0010100101001010,0010100101001010,true,true,true,true,true,15821572566936400961,5476904191295857748,3368347506941657928,15609374038539470119,277954,32,32,true
MICRO,2210000000,16,21,0202023232313131,1010110101101011,1010110101101011,true,true,true,true,true,15821572566936400961,15498584202055505872,17770802640967207811,16100153347761409935,277954,32,32,true
MICRO,2210000000,16,22,0102020232323131,0110101101011010,0110101101011010,true,true,true,true,true,15821572566936400961,9558819758101556596,3926963070216827338,15407926758466809939,277960,32,32,true
MICRO,2210000000,16,23,0231310232310202,1110111101111011,1110111101111011,true,true,true,true,true,15821572566936400961,15724856719182830064,1129869325839458625,7798043270340624531,277960,32,32,true
MICRO,2210000000,16,24,0132313202320102,0001100011000110,0001100011000110,true,true,true,true,true,15821572566936400961,8254128832478740420,16122742865328158654,8603330217029820127,277960,32,32,true
MICRO,2210000000,16,25,0201023202313231,1001110011100111,1001110011100111,true,true,true,true,true,15821572566936400961,6542602133997536752,9123723663174221158,8375869403707666127,277960,32,32,true
MICRO,2210000000,16,26,0101020202323231,0101101011010110,0101101011010110,true,true,true,true,true,15821572566936400961,7588567228437821428,2447705249545607451,4763082808716303955,277966,32,32,true
MICRO,2210000000,16,27,0232310202310102,1101111011110111,1101111011110111,true,true,true,true,true,15821572566936400961,7760293321344939776,6132597191965591739,3799755659573383147,277966,32,32,true
MICRO,2210000000,16,28,0131020102320231,0011100111001110,0011100111001110,true,true,true,true,true,15821572566936400961,6626685164562037656,17063274071147258512,10125498295891582371,277968,32,32,true
MICRO,2210000000,16,29,0202310102313102,1011110111101111,1011110111101111,true,true,true,true,true,15821572566936400961,8981589066749664868,5817452325244637619,10645969042830603531,277968,32,32,true
MICRO,2210000000,16,30,0102313102323102,0111101111011110,0111101111011110,true,true,true,true,true,15821572566936400961,14969831333509540632,16628946237259396645,3740055450272880343,277962,32,32,true
MICRO,2210000000,16,31,0231023102310231,1111111111111111,1111111111111111,true,true,true,true,true,15821572566936400961,13653054458760365796,16111610832934352290,15533862441728218471,277962,32,32,true
MICRO,2210000001,16,0,0132013201320132,0000000000000000,0000000000000000,true,true,true,true,true,2328239311061522611,7873809613349899449,14458640368606106948,837388631484937259,277962,32,32,true
MICRO,2210000001,16,1,0201323201313201,1000010000100001,1000010000100001,true,true,true,true,true,2328239311061522611,17497198547178200029,15978914031155261643,10044614816743783915,277962,32,32,true
MICRO,2210000001,16,2,0101320201323201,0100001000010000,0100001000010000,true,true,true,true,true,2328239311061522611,9056184655944121609,14804900887171705919,12386418515001335031,277968,32,32,true
MICRO,2210000001,16,3,0232010201310132,1100011000110001,1100011000110001,true,true,true,true,true,2328239311061522611,12725349572835439437,10776179688140466479,8556926853360994847,277968,32,32,true
MICRO,2210000001,16,4,0131320101320201,0010000100001000,0010000100001000,true,true,true,true,true,2328239311061522611,15818404880904234353,7740542825247890807,14232090387055019947,277970,32,32,true
MICRO,2210000001,16,5,0202010101313132,1010010100101001,1010010100101001,true,true,true,true,true,2328239311061522611,11426919249264988901,14998154785738417496,7665921065217228467,277970,32,32,true
MICRO,2210000001,16,6,0102013101323132,0110001100011000,0110001100011000,true,true,true,true,true,2328239311061522611,13774989804422728929,4932248576712120175,17374132469642300099,277964,32,32,true
MICRO,2210000001,16,7,0231323101310201,1110011100111001,1110011100111001,true,true,true,true,true,2328239311061522611,4744884435573422773,2300695910722266759,15170147413856751811,277964,32,32,true
MICRO,2210000001,16,8,0132320131320101,0001000010000100,0001000010000100,true,true,true,true,true,2328239311061522611,5855131962148436429,13675025495278184252,13814362155662680783,277964,32,32,true
MICRO,2210000001,16,9,0201010131313232,1001010010100101,1001010010100101,true,true,true,true,true,2328239311061522611,12153890981956908161,8605025776595142647,536657786076170519,277964,32,32,true
