stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
PROBE,2200000000,8,0,01320131,00000011,00000011,true,true,true,true,true,8695841744921284752,11416598606435717952,12643703930641792885,12599320885910462271,70116,8,8,false
PROBE,2200000000,8,1,02013201,10000001,10000001,true,true,true,true,true,8695841744921284752,8416058727881839080,9210276267430387729,14714202716311669895,70120,8,8,false
PROBE,2200000000,8,2,01013201,01000001,01000001,true,true,true,true,true,8695841744921284752,8050492351371403116,6545767593206004495,15720201524647802903,70122,8,8,false
PROBE,2200000000,8,3,02320132,11000001,11000001,true,true,true,true,true,8695841744921284752,17126966585356968988,149267352723151317,9769141529532838635,70112,8,8,false
PROBE,2200000000,8,4,01313202,00100010,00100010,true,true,true,true,true,8695841744921284752,2443554178201214284,4499716377516813977,1709122964023543987,70114,8,8,false
PROBE,2200000000,8,5,02020131,10100010,10100010,true,true,true,true,true,8695841744921284752,3526606361543365628,7243581866857322175,1660337360096126823,70120,8,8,false
PROBE,2200000000,8,6,01020131,01100011,01100011,true,true,true,true,true,8695841744921284752,7829976840715215012,12539681784294023033,3174217639627484247,70122,8,8,false
PROBE,2200000000,8,7,02313201,11100001,11100001,true,true,true,true,true,8695841744921284752,8126397638416597820,12679404709059713598,7015454472436119991,70114,8,8,false
PROBE,2200000001,8,0,01320131,00000011,00000011,true,true,true,true,true,5550800494202514878,7840722580944183936,1466880818481973229,8702809960808670403,70116,8,8,false
PROBE,2200000001,8,1,02013201,10000001,10000001,true,true,true,true,true,5550800494202514878,3600884296249825472,10116713195270255682,7844591924985573527,70120,8,8,false
PROBE,2200000001,8,2,01013201,01000001,01000001,true,true,true,true,true,5550800494202514878,1110709638412880212,4466605569431877474,14055757083892100623,70122,8,8,false
PROBE,2200000001,8,3,02320132,11000001,11000001,true,true,true,true,true,5550800494202514878,10069073782699502820,1007308427985059682,7269324247640219119,70112,8,8,false
PROBE,2200000001,8,4,01313202,00100010,00100010,true,true,true,true,true,5550800494202514878,6357841833905443416,568270613917378183,15763527739482814871,70114,8,8,false
PROBE,2200000001,8,5,02020131,10100010,10100010,true,true,true,true,true,5550800494202514878,2360948513198682408,15176440695424900151,17491624350613596731,70120,8,8,false
PROBE,2200000001,8,6,01020131,01100011,01100011,true,true,true,true,true,5550800494202514878,10356303356324664604,10848958694335685927,1384274416676883427,70122,8,8,false
PROBE,2200000001,8,7,02313201,11100001,11100001,true,true,true,true,true,5550800494202514878,5417942239870780876,5797593807419220556,12937027783541824795,70114,8,8,false
