stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
PROBE,2200000000,8,0,01320132,00000000,00000000,true,true,true,true,true,8695841744921284752,8308011050333170276,18406296599691436275,11842197739222011579,70114,8,8,true
PROBE,2200000000,8,1,02010131,10010010,10010010,true,true,true,true,true,8695841744921284752,4216588394050558548,10183215347511302518,5938805314055729231,70122,8,8,true
PROBE,2200000000,8,2,01013132,01001001,01001001,true,true,true,true,true,8695841744921284752,5906831476537794228,2442182854747281959,11534648168821496235,70116,8,8,true
PROBE,2200000000,8,3,02323131,11011011,11011011,true,true,true,true,true,8695841744921284752,7825515070251009172,3256102069248501813,14197619574388711911,70108,8,8,true
PROBE,2200000000,8,4,01313232,00100100,00100100,true,true,true,true,true,8695841744921284752,11040399667233067136,4754076258173187708,15713300438497392735,70108,8,8,true
PROBE,2200000000,8,5,02023231,10110110,10110110,true,true,true,true,true,8695841744921284752,17336750068895906912,12366620519463936945,4824102471975176939,70112,8,8,true
PROBE,2200000000,8,6,01020232,01101101,01101101,true,true,true,true,true,8695841744921284752,10932363497370930320,16494018634566827643,1544425582178607391,70118,8,8,true
PROBE,2200000000,8,7,02310231,11111111,11111111,true,true,true,true,true,8695841744921284752,16799950843752437248,14679845571341376513,3466486421567893987,70114,8,8,true
PROBE,2200000001,8,0,01320132,00000000,00000000,true,true,true,true,true,5550800494202514878,3598048079617588032,8950643771576823641,18134059566116366871,70114,8,8,true
PROBE,2200000001,8,1,02010131,10010010,10010010,true,true,true,true,true,5550800494202514878,1651833652037497516,4962647416427415454,4259779397611710163,70122,8,8,true
PROBE,2200000001,8,2,01013132,01001001,01001001,true,true,true,true,true,5550800494202514878,14155789964575499012,7612712094336506951,10945809298862355035,70116,8,8,true
PROBE,2200000001,8,3,02323131,11011011,11011011,true,true,true,true,true,5550800494202514878,17516239233415304304,14377834011099130859,10729982304297025919,70108,8,8,true
PROBE,2200000001,8,4,01313232,00100100,00100100,true,true,true,true,true,5550800494202514878,17776368388783434184,16336515713094280238,10987419170005433443,70108,8,8,true
PROBE,2200000001,8,5,02023231,10110110,10110110,true,true,true,true,true,5550800494202514878,15629074160527961684,16097930070552442522,13797551593273137499,70112,8,8,true
PROBE,2200000001,8,6,01020232,01101101,01101101,true,true,true,true,true,5550800494202514878,5637742440281608076,9124172202380413251,12373828615406442355,70118,8,8,true
PROBE,2200000001,8,7,02310231,11111111,11111111,true,true,true,true,true,5550800494202514878,8053272614970085400,5632891211752245332,4914224530701388331,70114,8,8,true
