case_id,mechanics,phase,delay,initial_resistance,scenario,candidate_eligible_events,competitor_eligible_events,candidate_updates,competitor_updates,proposals,deallocations,final_candidate_live,final_candidate_resistance,final_candidate_coupling,final_candidate_eligible,final_competitor_live,final_competitor_resistance,final_competitor_coupling,final_competitor_eligible,final_tick,final_pressure_phase,final_body_hash,final_checkpoint_hash,physical_trace_hash,naturally_quiescent,replay_exact,candidate_trajectory,competitor_trajectory
1,reference,0,0,1,prompt_modulation,0:4,,1,0,0,0,1,3,2,0,0,0,0,0,15,5,ac02e754a9dc97970348f69cca6eb829f180b17bd55194769ea46e11a5a4bc26,6406f30cf0e2cbf07283fdaee8c24df09297766a73815b64a059db67be14f66a,4f521f400199e1c5ea12343c6b95bdcd2a96de047967d1225bdb90cb4f059ce6,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,
1,production,0,0,1,prompt_modulation,0:4,,1,0,0,0,1,3,2,0,0,0,0,0,15,5,ac02e754a9dc97970348f69cca6eb829f180b17bd55194769ea46e11a5a4bc26,8a3646841daefb78cee97bbd03b1d7ce6e68cfe53ca43a379d9a3695a33f003a,4f521f400199e1c5ea12343c6b95bdcd2a96de047967d1225bdb90cb4f059ce6,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,
2,reference,0,0,1,unrelated_modulation,0:4,,1,0,0,0,1,3,2,0,0,0,0,0,15,5,17a9c5f1354bea2fabfe71a8c19b123abe38002608678cc05b6e91f054881ebd,65167d19be3edd0b2abc28c2364fe0e2100f35d297768d3739b5d69ad58273e8,27009ad05765ee31e752d233ac6a3001cfe894a6519bdda194a673d0a89e0434,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,
2,production,0,0,1,unrelated_modulation,0:4,,1,0,0,0,1,3,2,0,0,0,0,0,15,5,17a9c5f1354bea2fabfe71a8c19b123abe38002608678cc05b6e91f054881ebd,351b9ded92ad68d557ae9e870b92b99ad47fa3f5485ef037155a4e9d1cb89c47,27009ad05765ee31e752d233ac6a3001cfe894a6519bdda194a673d0a89e0434,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,
3,reference,0,0,1,nearby_drive,0:4,,0,0,0,1,0,0,1,0,0,0,0,0,15,5,fedc9ca8545df985e8681018570c3100e84f011207cd6c7804a3c8bc1d2e977e,4c57e5a4ab1ccffeee643a8e8506b062567426f7a9935063b5b67b9e9c02c331,ec88b0469956d7cb8299d03f47b2b984863525d2c3d841f38dbcc855a314e2a9,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,
3,production,0,0,1,nearby_drive,0:4,,0,0,0,1,0,0,1,0,0,0,0,0,15,5,fedc9ca8545df985e8681018570c3100e84f011207cd6c7804a3c8bc1d2e977e,17fe93d9bdaa5d704894e80f6dda039d1f1f69c5143732d8f0efc4d0eefd5a10,ec88b0469956d7cb8299d03f47b2b984863525d2c3d841f38dbcc855a314e2a9,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,
4,reference,0,0,1,same_path_repeat,0:4,,0,0,0,1,0,0,1,0,0,0,0,0,15,5,64d7f922af602c4244c8c01d46d5011f3e5f918d92a67b2db31739eab41edefe,02401c6206346cd9c358af2f847f686a6f89931a69abe21a7e8d31429d0b8119,26e08d62246068325492aeae0b729238f2cc433625608681c6f62c119b562aeb,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,
4,production,0,0,1,same_path_repeat,0:4,,0,0,0,1,0,0,1,0,0,0,0,0,15,5,64d7f922af602c4244c8c01d46d5011f3e5f918d92a67b2db31739eab41edefe,7864366154c8dd0d77a11cf6bec7293ff08b792e2da43a94d7d3269bd6f8a44f,26e08d62246068325492aeae0b729238f2cc433625608681c6f62c119b562aeb,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,
5,reference,0,0,1,two_paths_one_modulation,0:4,0:4,1,1,0,0,1,3,2,0,1,3,2,0,15,5,1e40d8dd40ff094563e5f863a34ed4b375408984abcc816f449286fc825660ed,27ea9a8d347daf5f61a0844c9634f353269342641393f49f0d700e50f967f914,40b0240f1cc388f10864341afe97252cfc3141b55448fc23b4b348ed2e8949b8,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0
5,production,0,0,1,two_paths_one_modulation,0:4,0:4,1,1,0,0,1,3,2,0,1,3,2,0,15,5,1e40d8dd40ff094563e5f863a34ed4b375408984abcc816f449286fc825660ed,0acfad8a1cdbdd073485e210f0325950767c0f1bd199bb31c2bfeb2667e5d998,40b0240f1cc388f10864341afe97252cfc3141b55448fc23b4b348ed2e8949b8,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:4:2:0|advance@1:1:4:2:0|advance@2:1:4:2:0|advance@3:1:4:2:0|advance@4:1:4:2:0|advance@5:1:4:2:0|advance@6:1:4:2:0|advance@7:1:4:2:0|advance@8:1:4:2:0|advance@9:1:4:2:0|advance@10:1:3:2:0|advance@11:1:3:2:0|advance@12:1:3:2:0|advance@13:1:3:2:0|advance@14:1:3:2:0|advance@15:1:3:2:0
6,reference,0,0,1,wrong_path_only,,0:4,0,0,0,2,0,0,1,0,0,0,1,0,15,5,305174bcd824d0681b18a3afaa7ba38404ed37fc7265cd10d87c4909effcd7da,341f0aea4e196f771489fde02cf924c61d9f45c9680894b3e0e10a9fc25812f3,e19def59adf1379820462c3eb3393470c82e4cdb23188ea90d16a1dda1808d56,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:0|event@0:1:1:1:0|advance@1:1:1:1:0|advance@2:1:1:1:0|advance@3:1:1:1:0|advance@4:1:1:1:0|advance@5:1:1:1:0|advance@6:1:1:1:0|advance@7:1:1:1:0|advance@8:1:1:1:0|advance@9:1:1:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0
