probe,size,work,wall_nanoseconds,branching_ratio,theoretical_mean,relative_error,runaway_fraction,slots,load,accuracy
data,256,520,24708,,,,,,,
data,1024,2056,60833,,,,,,,
data,4096,8200,240916,,,,,,,
data,16384,32776,934792,,,,,,,
context,1,1028,47875,,,,,,,
context,4,4112,63583,,,,,,,
context,16,16448,233333,,,,,,,
context,64,65792,819416,,,,,,,
context,256,263168,4761458,,,,,,,
topology,64,3520,94667,,,,,,,
topology,256,14080,355041,,,,,,,
topology,1024,56320,1482500,,,,,,,
topology,4096,225280,4976875,,,,,,,
cascade,,,,0.2500,1.333333,0.000100,0.000000,,,
cascade,,,,0.5000,2.000000,0.010825,0.000000,,,
cascade,,,,0.7500,4.000000,0.017513,0.000000,,,
cascade,,,,0.9000,10.000000,0.011860,0.000000,,,
cascade,,,,1.1000,,,0.233000,,,
capacity,1024,,,,,,,4096,0.2500,0.892578
capacity,2048,,,,,,,4096,0.5000,0.784180
capacity,4096,,,,,,,4096,1.0000,0.637451
capacity,8192,,,,,,,4096,2.0000,0.434692
capacity,16384,,,,,,,4096,4.0000,0.245544
